"Status","Year","Function_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","170","160","34160","30220"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","30","25","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Unknown","265","255","34510","30220"
"In post","2022","Analysis","Companies House","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Heterosexual / straight","110","100","62060","56360"
"In post","2022","Analysis","Competition and Markets Authority","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Heterosexual / straight","105","100","40600","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Unknown","375","355","41430","38700"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","200","195","43490","37470"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Heterosexual / straight","115","115","48560","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Heterosexual / straight","150","145","44800","44420"
"In post","2022","Analysis","Department for Education (excl. agencies)","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Unknown","20","15","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Heterosexual / straight","175","170","45220","43120"
"In post","2022","Analysis","Department for International Trade","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Unknown","50","50","41150","32730"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","185","180","47430","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Heterosexual / straight","220","215","48630","53270"
"In post","2022","Analysis","Department for Transport (excl. agencies)","LGBO","30","30","45540","42910"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Undeclared","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Unknown","65","60","43290","38410"
