"Status","Year","Age","Parent_department","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East Anglia","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Greater Manchester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Hampshire and Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Inner London - West","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","North Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Northumberland, and Tyne and Wear","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Northumberland, and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Surrey, East and West Sussex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Surrey, East and West Sussex","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Midlands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Midlands","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Greater Manchester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - West","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Northumberland, and Tyne and Wear","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Northumberland, and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Northumberland, and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Midlands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Midlands","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
