"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","London","AA/AO","65","65","24420","24900"
"In post","2022","Analysis","London","EO","305","300","28850","28310"
"In post","2022","Analysis","London","G6/G7","1615","1545","62300","59730"
"In post","2022","Analysis","London","SCS level","140","135","92040","82310"
"In post","2022","Analysis","London","SEO/HEO","1625","1600","38380","37930"
"In post","2022","Analysis","Outside London","AA/AO","195","185","20900","21260"
"In post","2022","Analysis","Outside London","EO","565","535","25720","25120"
"In post","2022","Analysis","Outside London","G6/G7","1190","1130","54440","52150"
"In post","2022","Analysis","Outside London","SCS level","45","45","80700","74880"
"In post","2022","Analysis","Outside London","SEO/HEO","2690","2585","35000","35000"
"In post","2022","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2022","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","AA/AO","40","40","22740","23130"
"In post","2022","Commercial","London","EO","110","110","28520","28310"
"In post","2022","Commercial","London","G6/G7","960","945","63870","62260"
"In post","2022","Commercial","London","SCS level","200","195","114850","113880"
"In post","2022","Commercial","London","SEO/HEO","550","540","39620","40650"
"In post","2022","Commercial","Outside London","AA/AO","250","230","22570","21740"
"In post","2022","Commercial","Outside London","EO","640","610","26340","26350"
"In post","2022","Commercial","Outside London","G6/G7","1240","1215","59740","57480"
"In post","2022","Commercial","Outside London","SCS level","125","125","104140","97110"
"In post","2022","Commercial","Outside London","SEO/HEO","2225","2155","36690","36820"
"In post","2022","Commercial","Outside London","Unknown","165","165","40030","37400"
"In post","2022","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G6/G7","10","10","66840","60720"
"In post","2022","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO/HEO","25","25","42140","42010"
"In post","2022","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Unknown","G6/G7","35","35","59600","54700"
"In post","2022","Commercial","Unknown","SCS level","5","5","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO/HEO","15","15","37990","40250"
"In post","2022","Communications","London","AA/AO","70","70","23920","24250"
"In post","2022","Communications","London","EO","305","300","28810","27850"
"In post","2022","Communications","London","G6/G7","805","780","60190","58430"
"In post","2022","Communications","London","SCS level","115","115","93640","87500"
"In post","2022","Communications","London","SEO/HEO","1120","1105","39650","40050"
"In post","2022","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outside London","AA/AO","420","375","21460","21250"
"In post","2022","Communications","Outside London","EO","2930","2830","26750","26820"
"In post","2022","Communications","Outside London","G6/G7","390","380","55500","55210"
"In post","2022","Communications","Outside London","SCS level","15","15","79850","75520"
"In post","2022","Communications","Outside London","SEO/HEO","2325","2250","35070","33370"
"In post","2022","Communications","Outside London","Unknown","10","10","36930","31420"
"In post","2022","Communications","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Counter Fraud","London","AA/AO","590","515","24860","25110"
"In post","2022","Counter Fraud","London","EO","1205","1135","31240","31020"
"In post","2022","Counter Fraud","London","G6/G7","425","410","63440","62120"
"In post","2022","Counter Fraud","London","SCS level","30","30","86900","79980"
"In post","2022","Counter Fraud","London","SEO/HEO","1350","1310","39610","37930"
"In post","2022","Counter Fraud","Outside London","AA/AO","2170","1880","21650","21260"
"In post","2022","Counter Fraud","Outside London","EO","5985","5465","27530","27570"
"In post","2022","Counter Fraud","Outside London","G6/G7","885","850","57700","55210"
"In post","2022","Counter Fraud","Outside London","SCS level","20","20","79440","77600"
"In post","2022","Counter Fraud","Outside London","SEO/HEO","4350","4130","35310","33370"
"In post","2022","Counter Fraud","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","EO","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","London","AA/AO","315","275","25810","25900"
"In post","2022","Debt","London","EO","130","120","31820","32530"
"In post","2022","Debt","London","G6/G7","15","15","70550","62120"
"In post","2022","Debt","London","SEO/HEO","40","35","40920","40910"
"In post","2022","Debt","Outside London","AA/AO","4810","4235","21340","21250"
"In post","2022","Debt","Outside London","EO","1075","970","27290","26820"
"In post","2022","Debt","Outside London","G6/G7","35","35","57840","55210"
"In post","2022","Debt","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Outside London","SEO/HEO","325","300","34580","33370"
"In post","2022","Debt","Unknown","AA/AO","60","45","24520","25110"
"In post","2022","Debt","Unknown","EO","10","10","[c]","[c]"
"In post","2022","Debt","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","AA/AO","130","125","24670","24470"
"In post","2022","Digital, Data & Technology","London","EO","470","460","29660","29640"
"In post","2022","Digital, Data & Technology","London","G6/G7","1795","1765","60290","58450"
"In post","2022","Digital, Data & Technology","London","SCS level","160","155","94920","90000"
"In post","2022","Digital, Data & Technology","London","SEO/HEO","1755","1725","39580","40170"
"In post","2022","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Outside London","AA/AO","810","785","21450","21260"
"In post","2022","Digital, Data & Technology","Outside London","EO","3295","3145","27330","26820"
"In post","2022","Digital, Data & Technology","Outside London","G6/G7","4185","4095","56680","55210"
"In post","2022","Digital, Data & Technology","Outside London","SCS level","175","170","90090","83650"
"In post","2022","Digital, Data & Technology","Outside London","SEO/HEO","9080","8810","37020","36500"
"In post","2022","Digital, Data & Technology","Outside London","Unknown","70","70","34360","32460"
"In post","2022","Digital, Data & Technology","Overseas","AA/AO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","EO","20","20","27910","26670"
"In post","2022","Digital, Data & Technology","Overseas","SEO/HEO","45","45","35730","33300"
"In post","2022","Digital, Data & Technology","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","EO","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","G6/G7","20","20","54050","53350"
"In post","2022","Digital, Data & Technology","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","SEO/HEO","30","30","35380","34290"
"In post","2022","Finance","London","AA/AO","110","100","25000","25330"
"In post","2022","Finance","London","EO","360","350","29550","30060"
"In post","2022","Finance","London","G6/G7","1015","995","61810","60940"
"In post","2022","Finance","London","SCS level","170","170","89290","81700"
"In post","2022","Finance","London","SEO/HEO","1335","1310","40150","40470"
"In post","2022","Finance","Outside London","AA/AO","1610","1360","21560","21250"
"In post","2022","Finance","Outside London","EO","1720","1625","26310","26670"
"In post","2022","Finance","Outside London","G6/G7","1745","1695","56330","55210"
"In post","2022","Finance","Outside London","SCS level","130","130","85010","78530"
"In post","2022","Finance","Outside London","SEO/HEO","4065","3895","36270","35310"
"In post","2022","Finance","Outside London","Unknown","55","55","50720","44130"
"In post","2022","Finance","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","EO","10","10","27410","26670"
"In post","2022","Finance","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","SEO/HEO","20","20","36720","33630"
"In post","2022","Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","Finance","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Grants Management","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Outside London","AA/AO","1285","1170","21280","21300"
"In post","2022","Grants Management","Outside London","EO","605","555","25440","25190"
"In post","2022","Grants Management","Outside London","G6/G7","65","60","51740","49360"
"In post","2022","Grants Management","Outside London","SCS level","10","5","[c]","[c]"
"In post","2022","Grants Management","Outside London","SEO/HEO","360","335","32600","31080"
"In post","2022","Human Resources","London","AA/AO","95","85","24560","24210"
"In post","2022","Human Resources","London","EO","490","475","29020","28500"
"In post","2022","Human Resources","London","G6/G7","940","915","60640","59160"
"In post","2022","Human Resources","London","SCS level","150","145","88370","80430"
"In post","2022","Human Resources","London","SEO/HEO","1225","1190","38710","37930"
"In post","2022","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Outside London","AA/AO","1540","1390","21540","21250"
"In post","2022","Human Resources","Outside London","EO","2085","1940","26880","26820"
"In post","2022","Human Resources","Outside London","G6/G7","1385","1340","55730","54850"
"In post","2022","Human Resources","Outside London","SCS level","110","110","85000","78400"
"In post","2022","Human Resources","Outside London","SEO/HEO","3585","3405","35450","33840"
"In post","2022","Human Resources","Outside London","Unknown","35","35","43400","43470"
"In post","2022","Human Resources","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","G6/G7","10","10","55920","54070"
"In post","2022","Human Resources","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","SEO/HEO","20","20","34880","33460"
"In post","2022","Human Resources","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","Human Resources","Unknown","SCS level","[c]","[c]","[c]","[c]"
