"Status","Year","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Department for Digital, Culture, Media and Sport","Male","LGBO","120","120","46600","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Male","Undeclared","60","60","46610","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Male","Unknown","70","70","45600","40280"
"In post","2022","Department for Digital, Culture, Media and Sport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Education","Female","Heterosexual / straight","3845","3630","42770","37290"
"In post","2022","Department for Education","Female","LGBO","275","270","42300","38500"
"In post","2022","Department for Education","Female","Undeclared","340","330","43270","40230"
"In post","2022","Department for Education","Female","Unknown","715","680","43200","40230"
"In post","2022","Department for Education","Male","Heterosexual / straight","2475","2450","44830","40510"
"In post","2022","Department for Education","Male","LGBO","245","245","43650","36960"
"In post","2022","Department for Education","Male","Undeclared","265","265","45000","42210"
"In post","2022","Department for Education","Male","Unknown","535","525","43930","40300"
"In post","2022","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Female","Heterosexual / straight","4820","4500","35750","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","Female","LGBO","345","330","35520","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","Female","Undeclared","515","475","36010","33150"
"In post","2022","Department for Environment, Food and Rural Affairs","Female","Unknown","1540","1405","31260","26330"
"In post","2022","Department for Environment, Food and Rural Affairs","Male","Heterosexual / straight","3455","3390","38460","35900"
"In post","2022","Department for Environment, Food and Rural Affairs","Male","LGBO","350","345","36880","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","Male","Undeclared","465","450","37080","33880"
"In post","2022","Department for Environment, Food and Rural Affairs","Male","Unknown","1300","1265","33420","29270"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Female","Heterosexual / straight","845","825","46550","42930"
"In post","2022","Department for International Trade","Female","LGBO","70","70","43640","39420"
"In post","2022","Department for International Trade","Female","Undeclared","75","70","44200","39340"
"In post","2022","Department for International Trade","Female","Unknown","405","400","43280","38540"
"In post","2022","Department for International Trade","Male","Heterosexual / straight","895","890","48050","47000"
"In post","2022","Department for International Trade","Male","LGBO","135","130","46950","41730"
"In post","2022","Department for International Trade","Male","Undeclared","75","75","48820","51710"
"In post","2022","Department for International Trade","Male","Unknown","390","385","47170","40850"
"In post","2022","Department for International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Heterosexual / straight","1555","1475","45070","40720"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","LGBO","155","155","40760","36340"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Undeclared","130","130","43680","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Female","Unknown","275","255","42520","38330"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Heterosexual / straight","1410","1385","46500","45720"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","LGBO","175","175","46390","48200"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Undeclared","150","145","46500","46120"
"In post","2022","Department for Levelling Up, Housing and Communities","Male","Unknown","295","285","42950","38550"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
