"Status","Year","Disability","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","London","Outer London - South","Unknown","65","60","34440","32090"
"In post","2022","Declared disabled","London","Outer London - West and North West","AA/AO","195","180","25280","25110"
"In post","2022","Declared disabled","London","Outer London - West and North West","EO","400","365","30120","31050"
"In post","2022","Declared disabled","London","Outer London - West and North West","G6/G7","30","30","63360","63750"
"In post","2022","Declared disabled","London","Outer London - West and North West","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Outer London - West and North West","SEO/HEO","175","165","37910","36760"
"In post","2022","Declared disabled","London","Outer London - West and North West","Unknown","75","70","36100","35290"
"In post","2022","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","AA/AO","1085","905","21330","21260"
"In post","2022","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","EO","715","630","27160","27570"
"In post","2022","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","G6/G7","155","150","55620","55210"
"In post","2022","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","SEO/HEO","530","500","34910","33370"
"In post","2022","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","Unknown","110","100","29700","28200"
"In post","2022","Declared disabled","North East (England)","Tees Valley and Durham","AA/AO","500","430","22540","21260"
"In post","2022","Declared disabled","North East (England)","Tees Valley and Durham","EO","390","340","27440","27570"
"In post","2022","Declared disabled","North East (England)","Tees Valley and Durham","G6/G7","55","50","55450","52670"
"In post","2022","Declared disabled","North East (England)","Tees Valley and Durham","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","North East (England)","Tees Valley and Durham","SEO/HEO","180","170","35310","34290"
"In post","2022","Declared disabled","North East (England)","Tees Valley and Durham","Unknown","105","100","30880","28200"
"In post","2022","Declared disabled","North West (England)","Cheshire","AA/AO","135","120","22550","21260"
"In post","2022","Declared disabled","North West (England)","Cheshire","EO","165","150","28330","27570"
"In post","2022","Declared disabled","North West (England)","Cheshire","G6/G7","30","30","58320","57110"
"In post","2022","Declared disabled","North West (England)","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","North West (England)","Cheshire","SEO/HEO","85","80","36770","36500"
"In post","2022","Declared disabled","North West (England)","Cheshire","Unknown","45","40","28700","28200"
"In post","2022","Declared disabled","North West (England)","Cumbria","AA/AO","100","85","21380","21300"
"In post","2022","Declared disabled","North West (England)","Cumbria","EO","70","60","26540","27550"
"In post","2022","Declared disabled","North West (England)","Cumbria","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","North West (England)","Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","North West (England)","Cumbria","SEO/HEO","45","40","35720","35900"
"In post","2022","Declared disabled","North West (England)","Cumbria","Unknown","35","30","36250","31420"
"In post","2022","Declared disabled","North West (England)","Greater Manchester","AA/AO","680","605","21560","21260"
"In post","2022","Declared disabled","North West (England)","Greater Manchester","EO","720","660","27060","27570"
"In post","2022","Declared disabled","North West (England)","Greater Manchester","G6/G7","230","225","56860","55210"
"In post","2022","Declared disabled","North West (England)","Greater Manchester","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","North West (England)","Greater Manchester","SEO/HEO","580","545","35360","33430"
"In post","2022","Declared disabled","North West (England)","Greater Manchester","Unknown","170","160","31260","30210"
"In post","2022","Declared disabled","North West (England)","Lancashire","AA/AO","850","745","21840","21260"
"In post","2022","Declared disabled","North West (England)","Lancashire","EO","685","615","27450","27570"
"In post","2022","Declared disabled","North West (England)","Lancashire","G6/G7","95","85","55640","52350"
"In post","2022","Declared disabled","North West (England)","Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","North West (England)","Lancashire","SEO/HEO","340","315","35190","34240"
"In post","2022","Declared disabled","North West (England)","Lancashire","Unknown","95","85","30090","28200"
"In post","2022","Declared disabled","North West (England)","Merseyside","AA/AO","910","780","21420","21260"
"In post","2022","Declared disabled","North West (England)","Merseyside","EO","790","700","26930","27570"
"In post","2022","Declared disabled","North West (England)","Merseyside","G6/G7","150","145","56120","55210"
"In post","2022","Declared disabled","North West (England)","Merseyside","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","North West (England)","Merseyside","SEO/HEO","490","465","35690","33680"
"In post","2022","Declared disabled","North West (England)","Merseyside","Unknown","150","145","29730","28200"
"In post","2022","Declared disabled","Northern Ireland","Northern Ireland","AA/AO","125","115","21920","21250"
"In post","2022","Declared disabled","Northern Ireland","Northern Ireland","EO","90","85","27050","26820"
"In post","2022","Declared disabled","Northern Ireland","Northern Ireland","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland","Northern Ireland","SEO/HEO","100","95","35190","33370"
"In post","2022","Declared disabled","Northern Ireland","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Overseas","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Overseas","G6/G7","100","100","59690","58030"
"In post","2022","Declared disabled","Overseas","Overseas","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Overseas","SEO/HEO","100","100","36500","34350"
"In post","2022","Declared disabled","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scotland","Eastern Scotland","AA/AO","600","550","22680","21260"
"In post","2022","Declared disabled","Scotland","Eastern Scotland","EO","660","605","29210","27570"
"In post","2022","Declared disabled","Scotland","Eastern Scotland","G6/G7","230","220","61370","62170"
"In post","2022","Declared disabled","Scotland","Eastern Scotland","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Scotland","Eastern Scotland","SEO/HEO","555","530","38750","37710"
"In post","2022","Declared disabled","Scotland","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scotland","Highlands and Islands","AA/AO","65","55","22470","21260"
"In post","2022","Declared disabled","Scotland","Highlands and Islands","EO","90","80","28720","27570"
"In post","2022","Declared disabled","Scotland","Highlands and Islands","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Scotland","Highlands and Islands","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scotland","Highlands and Islands","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Scotland","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scotland","North Eastern Scotland","AA/AO","35","35","23280","21260"
"In post","2022","Declared disabled","Scotland","North Eastern Scotland","EO","45","40","28420","27570"
"In post","2022","Declared disabled","Scotland","North Eastern Scotland","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Scotland","North Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scotland","North Eastern Scotland","SEO/HEO","50","45","43380","39660"
"In post","2022","Declared disabled","Scotland","Southern Scotland","AA/AO","190","160","22090","21300"
"In post","2022","Declared disabled","Scotland","Southern Scotland","EO","195","175","27120","27570"
"In post","2022","Declared disabled","Scotland","Southern Scotland","G6/G7","40","35","53030","53800"
"In post","2022","Declared disabled","Scotland","Southern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scotland","Southern Scotland","SEO/HEO","110","105","36020","33930"
"In post","2022","Declared disabled","Scotland","West Central Scotland","AA/AO","765","665","21950","21260"
"In post","2022","Declared disabled","Scotland","West Central Scotland","EO","610","550","28050","27570"
"In post","2022","Declared disabled","Scotland","West Central Scotland","G6/G7","100","95","59490","57030"
"In post","2022","Declared disabled","Scotland","West Central Scotland","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Scotland","West Central Scotland","SEO/HEO","445","425","37440","35540"
"In post","2022","Declared disabled","Scotland","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","320","300","25560","23520"
"In post","2022","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","295","275","29130","27760"
"In post","2022","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","65","60","59800","56540"
"In post","2022","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","245","235","37640","35930"
"In post","2022","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","115","110","30580","28200"
"In post","2022","Declared disabled","South East (England)","Hampshire and Isle of Wight","AA/AO","520","435","21840","21250"
"In post","2022","Declared disabled","South East (England)","Hampshire and Isle of Wight","EO","450","415","27360","27570"
"In post","2022","Declared disabled","South East (England)","Hampshire and Isle of Wight","G6/G7","125","115","56140","53500"
"In post","2022","Declared disabled","South East (England)","Hampshire and Isle of Wight","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","South East (England)","Hampshire and Isle of Wight","SEO/HEO","470","440","36160","34390"
"In post","2022","Declared disabled","South East (England)","Hampshire and Isle of Wight","Unknown","85","80","30220","28200"
"In post","2022","Declared disabled","South East (England)","Kent","AA/AO","330","305","24300","24250"
"In post","2022","Declared disabled","South East (England)","Kent","EO","380","350","28980","29290"
"In post","2022","Declared disabled","South East (England)","Kent","G6/G7","25","25","[c]","[c]"
