"Status","Year","Organisation","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Outside London","Female","Heterosexual / straight","45","35","33050","30040"
"In post","2022","Accountant in Bankruptcy","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","Male","Heterosexual / straight","30","30","34620","30640"
"In post","2022","Accountant in Bankruptcy","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Female","Heterosexual / straight","80","75","42300","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Male","Heterosexual / straight","60","55","47000","43820"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Female","Heterosexual / straight","365","330","31100","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Female","LGBO","25","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Female","Undeclared","50","40","30970","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Female","Unknown","65","60","26660","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Male","Heterosexual / straight","220","205","33370","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Male","Undeclared","40","40","34410","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Male","Unknown","55","50","27030","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Female","Heterosexual / straight","40","35","34620","31690"
"In post","2022","Animal and Plant Health Agency","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Female","Undeclared","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Male","Heterosexual / straight","40","40","33820","31800"
"In post","2022","Animal and Plant Health Agency","London","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","Female","Heterosexual / straight","1250","1175","29360","25600"
"In post","2022","Animal and Plant Health Agency","Outside London","Female","LGBO","75","70","27280","25320"
"In post","2022","Animal and Plant Health Agency","Outside London","Female","Undeclared","175","165","32100","29180"
"In post","2022","Animal and Plant Health Agency","Outside London","Female","Unknown","160","145","28860","25010"
"In post","2022","Animal and Plant Health Agency","Outside London","Male","Heterosexual / straight","755","735","31780","28800"
"In post","2022","Animal and Plant Health Agency","Outside London","Male","LGBO","75","75","26340","24370"
"In post","2022","Animal and Plant Health Agency","Outside London","Male","Undeclared","150","145","34770","30930"
"In post","2022","Animal and Plant Health Agency","Outside London","Male","Unknown","135","125","30520","26520"
"In post","2022","Animal and Plant Health Agency","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Attorney General's Office","London","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","Female","Heterosexual / straight","1670","1625","50200","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","Female","LGBO","145","145","45910","42300"
"In post","2022","Cabinet Office (excl. agencies)","London","Female","Undeclared","185","180","48230","51920"
"In post","2022","Cabinet Office (excl. agencies)","London","Female","Unknown","1410","1395","44260","32000"
"In post","2022","Cabinet Office (excl. agencies)","London","Male","Heterosexual / straight","1385","1375","55660","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","Male","LGBO","215","210","49770","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","Male","Undeclared","210","210","53790","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","Male","Unknown","1205","1200","50730","40600"
"In post","2022","Cabinet Office (excl. agencies)","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","Female","Heterosexual / straight","880","820","36830","33000"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","Female","LGBO","65","65","33850","32000"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","Female","Undeclared","60","55","38030","33300"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","Female","Unknown","675","660","46130","37210"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","Male","Heterosexual / straight","595","585","40240","33300"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","Male","LGBO","70","70","36240","32000"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","Male","Undeclared","65","65","39790","33300"
