"Status","Year","Region_ITL1","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","9050","8435","32600","27570"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","LGBO","605","585","31180","27570"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","Undeclared","1135","1045","32900","29710"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","Unknown","2915","2690","29720","27130"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","Heterosexual / straight","4340","4000","28570","26850"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","LGBO","255","245","27810","26820"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","Undeclared","575","525","29050","27130"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","Unknown","1115","1005","26610","25120"
"In post","2022","East Midlands (England)","Lincolnshire","Outside London","Heterosexual / straight","2310","2185","28870","26930"
"In post","2022","East Midlands (England)","Lincolnshire","Outside London","LGBO","95","90","28160","27570"
"In post","2022","East Midlands (England)","Lincolnshire","Outside London","Undeclared","295","275","29670","27380"
"In post","2022","East Midlands (England)","Lincolnshire","Outside London","Unknown","320","290","28340","27120"
"In post","2022","East of England","Bedfordshire and Hertfordshire","Outside London","Heterosexual / straight","3380","3200","33660","29430"
"In post","2022","East of England","Bedfordshire and Hertfordshire","Outside London","LGBO","175","175","32000","29290"
"In post","2022","East of England","Bedfordshire and Hertfordshire","Outside London","Undeclared","395","365","33660","30730"
"In post","2022","East of England","Bedfordshire and Hertfordshire","Outside London","Unknown","750","690","33360","29290"
"In post","2022","East of England","East Anglia","Outside London","Heterosexual / straight","9050","8455","30560","27570"
"In post","2022","East of England","East Anglia","Outside London","LGBO","445","430","28940","27570"
"In post","2022","East of England","East Anglia","Outside London","Undeclared","1265","1180","31420","28590"
"In post","2022","East of England","East Anglia","Outside London","Unknown","2155","1965","30260","27570"
"In post","2022","East of England","Essex","Outside London","Heterosexual / straight","3625","3350","31520","29290"
"In post","2022","East of England","Essex","Outside London","LGBO","200","195","31060","29290"
"In post","2022","East of England","Essex","Outside London","Undeclared","495","445","31200","28920"
"In post","2022","East of England","Essex","Outside London","Unknown","1000","910","30390","28070"
"In post","2022","London","Inner London - East","London","Heterosexual / straight","12100","11635","42720","37610"
"In post","2022","London","Inner London - East","London","LGBO","925","905","43540","37930"
"In post","2022","London","Inner London - East","London","Undeclared","1640","1565","42990","37930"
"In post","2022","London","Inner London - East","London","Unknown","4385","4145","40710","35230"
"In post","2022","London","Inner London - West","London","Heterosexual / straight","39455","38325","48130","43810"
"In post","2022","London","Inner London - West","London","LGBO","3895","3845","47490","43360"
"In post","2022","London","Inner London - West","London","Undeclared","5595","5440","47770","43840"
"In post","2022","London","Inner London - West","London","Unknown","11825","11530","46140","40630"
"In post","2022","London","Outer London - East and North East","London","Heterosexual / straight","2725","2570","31850","31060"
"In post","2022","London","Outer London - East and North East","London","LGBO","130","120","31990","31060"
"In post","2022","London","Outer London - East and North East","London","Undeclared","325","295","31040","31060"
"In post","2022","London","Outer London - East and North East","London","Unknown","890","810","30350","31060"
"In post","2022","London","Outer London - South","London","Heterosexual / straight","8180","7765","39010","35070"
"In post","2022","London","Outer London - South","London","LGBO","345","335","40930","36020"
"In post","2022","London","Outer London - South","London","Undeclared","1180","1110","39090","35070"
"In post","2022","London","Outer London - South","London","Unknown","2110","2030","38050","34260"
"In post","2022","London","Outer London - West and North West","London","Heterosexual / straight","6255","5850","33410","31060"
"In post","2022","London","Outer London - West and North West","London","LGBO","310","300","33060","31060"
"In post","2022","London","Outer London - West and North West","London","Undeclared","995","910","34620","31060"
"In post","2022","London","Outer London - West and North West","London","Unknown","1560","1465","34920","31060"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","Outside London","Heterosexual / straight","15140","13785","30760","27570"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","Outside London","LGBO","925","890","29990","27570"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","Outside London","Undeclared","1520","1365","30560","26820"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","Outside London","Unknown","5670","5035","28030","24880"
"In post","2022","North East (England)","Tees Valley and Durham","Outside London","Heterosexual / straight","6970","6370","29290","27130"
"In post","2022","North East (England)","Tees Valley and Durham","Outside London","LGBO","370","355","29230","27570"
"In post","2022","North East (England)","Tees Valley and Durham","Outside London","Undeclared","740","660","29660","27550"
"In post","2022","North East (England)","Tees Valley and Durham","Outside London","Unknown","1775","1600","27430","26030"
"In post","2022","North West (England)","Cheshire","Outside London","Heterosexual / straight","3115","2945","32550","30210"
"In post","2022","North West (England)","Cheshire","Outside London","LGBO","220","215","31860","28840"
"In post","2022","North West (England)","Cheshire","Outside London","Undeclared","360","340","31780","30140"
"In post","2022","North West (England)","Cheshire","Outside London","Unknown","690","630","29540","27470"
"In post","2022","North West (England)","Cumbria","Outside London","Heterosexual / straight","1430","1310","29870","26680"
"In post","2022","North West (England)","Cumbria","Outside London","LGBO","85","80","29200","26610"
"In post","2022","North West (England)","Cumbria","Outside London","Undeclared","175","160","30710","26780"
"In post","2022","North West (England)","Cumbria","Outside London","Unknown","630","575","25740","21300"
"In post","2022","North West (England)","Greater Manchester","Outside London","Heterosexual / straight","13855","13095","32760","27570"
"In post","2022","North West (England)","Greater Manchester","Outside London","LGBO","1205","1175","31960","27570"
"In post","2022","North West (England)","Greater Manchester","Outside London","Undeclared","1645","1530","32090","27570"
"In post","2022","North West (England)","Greater Manchester","Outside London","Unknown","4895","4580","30670","27570"
"In post","2022","North West (England)","Lancashire","Outside London","Heterosexual / straight","10000","9160","29700","27570"
"In post","2022","North West (England)","Lancashire","Outside London","LGBO","545","520","28310","27130"
"In post","2022","North West (England)","Lancashire","Outside London","Undeclared","1110","1005","29300","27570"
"In post","2022","North West (England)","Lancashire","Outside London","Unknown","3120","2805","27930","27120"
"In post","2022","North West (England)","Merseyside","Outside London","Heterosexual / straight","14550","13470","30030","26820"
"In post","2022","North West (England)","Merseyside","Outside London","LGBO","785","760","29240","26590"
"In post","2022","North West (England)","Merseyside","Outside London","Undeclared","1485","1345","30070","27000"
"In post","2022","North West (England)","Merseyside","Outside London","Unknown","4400","4000","27930","25120"
"In post","2022","Northern Ireland","Northern Ireland","Outside London","Heterosexual / straight","2905","2760","30280","26820"
"In post","2022","Northern Ireland","Northern Ireland","Outside London","LGBO","130","120","28500","26590"
"In post","2022","Northern Ireland","Northern Ireland","Outside London","Undeclared","230","215","29810","26820"
"In post","2022","Northern Ireland","Northern Ireland","Outside London","Unknown","995","945","27850","24880"
"In post","2022","Overseas","Overseas","Overseas","Heterosexual / straight","2495","2480","49420","47870"
"In post","2022","Overseas","Overseas","Overseas","LGBO","180","180","50930","52430"
"In post","2022","Overseas","Overseas","Overseas","Undeclared","355","350","46660","41960"
"In post","2022","Overseas","Overseas","Overseas","Unknown","660","655","50450","51500"
"In post","2022","Scotland","Eastern Scotland","Outside London","Heterosexual / straight","12220","11570","36870","31540"
"In post","2022","Scotland","Eastern Scotland","Outside London","LGBO","995","970","34940","30910"
"In post","2022","Scotland","Eastern Scotland","Outside London","Undeclared","1045","980","36140","31540"
"In post","2022","Scotland","Eastern Scotland","Outside London","Unknown","6730","6295","33520","30040"
"In post","2022","Scotland","Highlands and Islands","Outside London","Heterosexual / straight","1250","1175","29720","27570"
"In post","2022","Scotland","Highlands and Islands","Outside London","LGBO","40","40","30180","27570"
"In post","2022","Scotland","Highlands and Islands","Outside London","Undeclared","135","125","31160","28980"
"In post","2022","Scotland","Highlands and Islands","Outside London","Unknown","575","540","30210","27570"
"In post","2022","Scotland","North Eastern Scotland","Outside London","Heterosexual / straight","1160","1090","38550","31540"
"In post","2022","Scotland","North Eastern Scotland","Outside London","LGBO","75","75","34400","30200"
"In post","2022","Scotland","North Eastern Scotland","Outside London","Undeclared","135","125","40630","32670"
"In post","2022","Scotland","North Eastern Scotland","Outside London","Unknown","565","525","32540","29900"
"In post","2022","Scotland","Southern Scotland","Outside London","Heterosexual / straight","3700","3380","31160","27570"
"In post","2022","Scotland","Southern Scotland","Outside London","LGBO","170","160","30530","27570"
"In post","2022","Scotland","Southern Scotland","Outside London","Undeclared","305","275","30360","27570"
"In post","2022","Scotland","Southern Scotland","Outside London","Unknown","2060","1870","28600","26120"
"In post","2022","Scotland","West Central Scotland","Outside London","Heterosexual / straight","12505","11665","32560","27570"
"In post","2022","Scotland","West Central Scotland","Outside London","LGBO","845","825","31240","27570"
"In post","2022","Scotland","West Central Scotland","Outside London","Undeclared","1370","1245","30990","27570"
"In post","2022","Scotland","West Central Scotland","Outside London","Unknown","5130","4760","30890","27230"
"In post","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Heterosexual / straight","6755","6410","33580","29860"
"In post","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","LGBO","370","360","32410","29290"
"In post","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Undeclared","885","840","34720","33000"
"In post","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","1530","1440","33090","29290"
"In post","2022","South East (England)","Hampshire and Isle of Wight","Outside London","Heterosexual / straight","10440","9635","32450","28170"
"In post","2022","South East (England)","Hampshire and Isle of Wight","Outside London","LGBO","535","510","30910","27720"
"In post","2022","South East (England)","Hampshire and Isle of Wight","Outside London","Undeclared","1430","1330","33430","31040"
"In post","2022","South East (England)","Hampshire and Isle of Wight","Outside London","Unknown","3165","2890","35320","30810"
"In post","2022","South East (England)","Kent","Outside London","Heterosexual / straight","6050","5675","29920","28310"
"In post","2022","South East (England)","Kent","Outside London","LGBO","350","340","31000","29290"
"In post","2022","South East (England)","Kent","Outside London","Undeclared","845","780","30460","28200"
"In post","2022","South East (England)","Kent","Outside London","Unknown","1510","1405","29850","28140"
"In post","2022","South East (England)","Surrey, East and West Sussex","Outside London","Heterosexual / straight","5920","5455","31720","28140"
"In post","2022","South East (England)","Surrey, East and West Sussex","Outside London","LGBO","500","480","30550","27570"
"In post","2022","South East (England)","Surrey, East and West Sussex","Outside London","Undeclared","905","825","32580","28750"
"In post","2022","South East (England)","Surrey, East and West Sussex","Outside London","Unknown","1445","1295","30680","27570"
"In post","2022","South West (England)","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","1255","1155","28050","26840"
"In post","2022","South West (England)","Cornwall and Isles of Scilly","Outside London","LGBO","65","60","27430","27570"
"In post","2022","South West (England)","Cornwall and Isles of Scilly","Outside London","Undeclared","175","160","28120","26930"
"In post","2022","South West (England)","Cornwall and Isles of Scilly","Outside London","Unknown","275","245","26470","24090"
"In post","2022","South West (England)","Devon","Outside London","Heterosexual / straight","6525","6025","32740","27570"
"In post","2022","South West (England)","Devon","Outside London","LGBO","390","375","30060","27570"
"In post","2022","South West (England)","Devon","Outside London","Undeclared","1000","915","34440","32730"
"In post","2022","South West (England)","Devon","Outside London","Unknown","1400","1255","27750","25850"
"In post","2022","South West (England)","Dorset and Somerset","Outside London","Heterosexual / straight","3850","3595","30650","27570"
"In post","2022","South West (England)","Dorset and Somerset","Outside London","LGBO","195","185","29300","27570"
"In post","2022","South West (England)","Dorset and Somerset","Outside London","Undeclared","535","500","30900","27570"
"In post","2022","South West (England)","Dorset and Somerset","Outside London","Unknown","880","805","29920","27570"
