"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","East Anglia","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","London","Inner London - East","120","120","46100","42860"
"In post","2022","Asian","Analysis","London","Inner London - West","315","310","45570","41340"
"In post","2022","Asian","Analysis","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","London","Outer London - South","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","Greater Manchester","40","35","36180","33370"
"In post","2022","Asian","Analysis","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","Hampshire and Isle of Wight","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Wales","East Wales","45","45","34690","31700"
"In post","2022","Asian","Analysis","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Midlands (England)","Shropshire and Staffordshire","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","West Midlands (England)","West Midlands","10","10","[c]","[c]"
