"Status","Year","Ethnicity","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","London","AA/AO","100","90","23490","23770"
"In post","2022","Asian","Attorney General's Departments","London","EO","140","130","28350","27580"
"In post","2022","Asian","Attorney General's Departments","London","G6/G7","340","315","58330","54800"
"In post","2022","Asian","Attorney General's Departments","London","SCS level","10","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","SEO/HEO","95","95","36770","36240"
"In post","2022","Asian","Attorney General's Departments","Outside London","AA/AO","90","80","22330","22200"
"In post","2022","Asian","Attorney General's Departments","Outside London","EO","65","60","26730","26090"
"In post","2022","Asian","Attorney General's Departments","Outside London","G6/G7","175","160","53610","51940"
"In post","2022","Asian","Attorney General's Departments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Outside London","SEO/HEO","45","45","36300","38000"
"In post","2022","Asian","Attorney General's Departments","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","EO","70","65","27800","27500"
"In post","2022","Asian","Cabinet Office","London","G6/G7","190","185","58850","56440"
"In post","2022","Asian","Cabinet Office","London","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","SEO/HEO","165","160","37610","35740"
"In post","2022","Asian","Cabinet Office","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Outside London","EO","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Outside London","G6/G7","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Outside London","SEO/HEO","50","50","35710","36900"
"In post","2022","Asian","Cabinet Office","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
