"Status","Year","Ethnicity","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","London","AA","Female","125","100","22470","22460"
"In post","2022","Asian","London","AA","Male","150","140","22830","22460"
"In post","2022","Asian","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","AO","Female","1330","1125","25060","25110"
"In post","2022","Asian","London","AO","Male","750","720","26230","25330"
"In post","2022","Asian","London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","EO","Female","2790","2520","30010","30400"
"In post","2022","Asian","London","EO","Male","1800","1755","29940","30620"
"In post","2022","Asian","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","G6","Female","350","330","68800","66850"
"In post","2022","Asian","London","G6","Male","260","255","70500","68700"
"In post","2022","Asian","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","G7","Female","1120","1085","56310","54760"
"In post","2022","Asian","London","G7","Male","825","815","57720","57430"
"In post","2022","Asian","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","HEO","Female","1730","1675","35690","35150"
"In post","2022","Asian","London","HEO","Male","1200","1185","36000","35320"
"In post","2022","Asian","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","SCS level","Female","130","125","88890","80050"
"In post","2022","Asian","London","SCS level","Male","105","100","92810","85690"
"In post","2022","Asian","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","SEO","Female","1120","1090","42570","41950"
"In post","2022","Asian","London","SEO","Male","840","830","43320","42470"
"In post","2022","Asian","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","Unknown","Female","130","125","32330","30200"
"In post","2022","Asian","London","Unknown","Male","55","55","34320","32090"
"In post","2022","Asian","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outside London","AA","Female","180","150","20130","19810"
"In post","2022","Asian","Outside London","AA","Male","225","215","20140","19810"
"In post","2022","Asian","Outside London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outside London","AO","Female","3185","2650","21560","21260"
"In post","2022","Asian","Outside London","AO","Male","2515","2380","22090","21260"
"In post","2022","Asian","Outside London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outside London","EO","Female","3250","2950","27090","27570"
