"Status","Year","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Heterosexual / straight","7245","6810","44190","48080"
"In post","2022","Attorney General's Departments","LGBO","475","460","44240","43920"
"In post","2022","Attorney General's Departments","Undeclared","430","405","46370","50500"
"In post","2022","Attorney General's Departments","Unknown","2060","1860","47990","52100"
"In post","2022","Cabinet Office","Heterosexual / straight","5520","5380","47120","40600"
"In post","2022","Cabinet Office","LGBO","570","565","44150","40600"
"In post","2022","Cabinet Office","Undeclared","570","560","47770","42040"
"In post","2022","Cabinet Office","Unknown","4385","4340","46610","34550"
"In post","2022","Chancellor's other departments","Heterosexual / straight","305","295","59810","51150"
"In post","2022","Chancellor's other departments","LGBO","15","15","[c]","[c]"
"In post","2022","Chancellor's other departments","Undeclared","80","75","61080","53500"
"In post","2022","Chancellor's other departments","Unknown","25","20","[c]","[c]"
"In post","2022","Charity Commission","Heterosexual / straight","245","230","34960","29160"
"In post","2022","Charity Commission","LGBO","20","20","[c]","[c]"
"In post","2022","Charity Commission","Undeclared","15","10","[c]","[c]"
"In post","2022","Charity Commission","Unknown","190","180","32890","29160"
"In post","2022","Competition and Markets Authority","Heterosexual / straight","700","675","60890","56630"
"In post","2022","Competition and Markets Authority","LGBO","60","60","59140","56110"
"In post","2022","Competition and Markets Authority","Undeclared","70","65","63140","60850"
"In post","2022","Competition and Markets Authority","Unknown","30","30","70220","62980"
"In post","2022","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","9775","9375","42500","40040"
"In post","2022","Department for Business, Energy and Industrial Strategy","LGBO","860","845","41740","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Undeclared","1320","1260","43450","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Unknown","2120","2020","35850","31880"
"In post","2022","Department for Digital, Culture, Media and Sport","Heterosexual / straight","1490","1465","47390","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","LGBO","215","215","45920","51400"
"In post","2022","Department for Digital, Culture, Media and Sport","Undeclared","145","145","44510","38020"
"In post","2022","Department for Digital, Culture, Media and Sport","Unknown","160","155","46680","49300"
"In post","2022","Department for Education","Heterosexual / straight","6315","6085","43580","40230"
"In post","2022","Department for Education","LGBO","520","510","42940","37100"
"In post","2022","Department for Education","Undeclared","610","590","44030","40300"
"In post","2022","Department for Education","Unknown","1250","1205","43510","40230"
"In post","2022","Department for Environment, Food and Rural Affairs","Heterosexual / straight","8275","7885","36880","33090"
"In post","2022","Department for Environment, Food and Rural Affairs","LGBO","695","675","36210","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","Undeclared","980","930","36520","33720"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","2840","2670","32240","28270"
"In post","2022","Department for International Trade","Heterosexual / straight","1740","1715","47330","44030"
"In post","2022","Department for International Trade","LGBO","200","200","45830","40600"
"In post","2022","Department for International Trade","Undeclared","150","145","46560","44030"
"In post","2022","Department for International Trade","Unknown","790","790","45180","39440"
"In post","2022","Department for Levelling Up, Housing and Communities","Heterosexual / straight","2970","2860","45750","42130"
"In post","2022","Department for Levelling Up, Housing and Communities","LGBO","330","330","43760","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Undeclared","285","275","45190","42060"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","570","540","42740","38330"
"In post","2022","Department for Transport","Heterosexual / straight","10435","9780","34350","29460"
"In post","2022","Department for Transport","LGBO","660","640","35560","30730"
"In post","2022","Department for Transport","Undeclared","2720","2380","30360","26780"
"In post","2022","Department for Transport","Unknown","2580","2445","31080","26700"
"In post","2022","Department for Work and Pensions","Heterosexual / straight","64140","58070","28760","27570"
"In post","2022","Department for Work and Pensions","LGBO","4025","3850","28470","27570"
"In post","2022","Department for Work and Pensions","Undeclared","7815","6975","28370","27570"
"In post","2022","Department for Work and Pensions","Unknown","18175","15760","27660","27570"
"In post","2022","Department of Health and Social Care","Heterosexual / straight","6825","6425","43910","40060"
"In post","2022","Department of Health and Social Care","LGBO","605","585","42660","38020"
"In post","2022","Department of Health and Social Care","Undeclared","2270","2160","45910","40650"
"In post","2022","Department of Health and Social Care","Unknown","2110","2020","49330","42480"
"In post","2022","Estyn","Heterosexual / straight","95","90","59530","75480"
"In post","2022","Estyn","LGBO","5","5","[c]","[c]"
"In post","2022","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Unknown","10","10","[c]","[c]"
"In post","2022","Food Standards Agency","Heterosexual / straight","1025","1000","38430","37350"
"In post","2022","Food Standards Agency","LGBO","70","70","40540","37350"
"In post","2022","Food Standards Agency","Undeclared","125","125","38870","37350"
"In post","2022","Food Standards Agency","Unknown","235","225","32490","27990"
"In post","2022","Foreign, Commonwealth and Development Office","Heterosexual / straight","5760","5620","47820","43300"
"In post","2022","Foreign, Commonwealth and Development Office","LGBO","405","405","47880","44770"
"In post","2022","Foreign, Commonwealth and Development Office","Undeclared","635","620","48970","44640"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","1445","1415","47730","48500"
"In post","2022","HM Land Registry","Heterosexual / straight","3965","3605","32240","27130"
"In post","2022","HM Land Registry","LGBO","175","170","30220","27130"
"In post","2022","HM Land Registry","Undeclared","650","570","33080","31740"
"In post","2022","HM Land Registry","Unknown","1840","1695","28790","27130"
"In post","2022","HM Revenue and Customs","Heterosexual / straight","41800","38960","34750","33080"
"In post","2022","HM Revenue and Customs","LGBO","2820","2725","33880","31900"
"In post","2022","HM Revenue and Customs","Undeclared","4955","4525","35250","33370"
"In post","2022","HM Revenue and Customs","Unknown","21795","20120","30330","26820"
"In post","2022","HM Treasury","Heterosexual / straight","2090","2030","48280","49500"
"In post","2022","HM Treasury","LGBO","210","205","46210","44940"
"In post","2022","HM Treasury","Undeclared","290","285","45810","43160"
"In post","2022","HM Treasury","Unknown","180","175","55110","50440"
"In post","2022","Home Office","Heterosexual / straight","27015","25200","32580","28650"
"In post","2022","Home Office","LGBO","1185","1145","33810","28670"
"In post","2022","Home Office","Undeclared","3905","3595","33220","28850"
"In post","2022","Home Office","Unknown","4435","4285","32340","27370"
"In post","2022","Ministry of Defence","Heterosexual / straight","40315","38935","34130","32630"
"In post","2022","Ministry of Defence","LGBO","1455","1430","33580","31600"
"In post","2022","Ministry of Defence","Undeclared","5905","5695","35430","33300"
"In post","2022","Ministry of Defence","Unknown","10150","9840","36810","34460"
"In post","2022","Ministry of Justice","Heterosexual / straight","60730","56995","30660","27980"
"In post","2022","Ministry of Justice","LGBO","4250","4140","30890","28010"
"In post","2022","Ministry of Justice","Undeclared","6795","6310","31580","28800"
"In post","2022","Ministry of Justice","Unknown","15125","14035","29020","26950"
"In post","2022","National Crime Agency","Heterosexual / straight","4265","4155","40750","37790"
"In post","2022","National Crime Agency","LGBO","220","215","37860","36410"
"In post","2022","National Crime Agency","Undeclared","360","355","39640","37390"
"In post","2022","National Crime Agency","Unknown","705","680","41710","39840"
"In post","2022","Northern Ireland Office","Heterosexual / straight","105","105","46390","41750"
