"Status","Year","Ethnicity","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","AO","95","85","23550","23770"
"In post","2022","Asian","Attorney General's Departments","London","EO","140","130","28350","27580"
"In post","2022","Asian","Attorney General's Departments","London","G6","85","80","67210","65650"
"In post","2022","Asian","Attorney General's Departments","London","G7","250","235","55260","53050"
"In post","2022","Asian","Attorney General's Departments","London","HEO","70","70","35500","33930"
"In post","2022","Asian","Attorney General's Departments","London","SCS level","10","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","SEO","25","25","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Outside London","AO","90","80","22330","22200"
"In post","2022","Asian","Attorney General's Departments","Outside London","EO","65","60","26730","26090"
"In post","2022","Asian","Attorney General's Departments","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Outside London","G7","170","155","53150","51470"
"In post","2022","Asian","Attorney General's Departments","Outside London","HEO","40","35","35680","38000"
"In post","2022","Asian","Attorney General's Departments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","AO","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","EO","70","65","27800","27500"
"In post","2022","Asian","Cabinet Office","London","G6","45","45","67250","65000"
"In post","2022","Asian","Cabinet Office","London","G7","145","145","56220","54700"
"In post","2022","Asian","Cabinet Office","London","HEO","90","90","34710","34550"
"In post","2022","Asian","Cabinet Office","London","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","SEO","70","70","41370","40600"
"In post","2022","Asian","Cabinet Office","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Outside London","AO","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Outside London","EO","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Outside London","G7","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Outside London","HEO","25","25","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Outside London","SEO","25","25","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","G7","[c]","[c]","[c]","[c]"
