"Status","Year","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scottish Government","AA/AO","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","Scottish Government","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","Scottish Government","G6/G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","SEO/HEO","35","35","37500","36130"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","50","40","21180","21100"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","320","300","25060","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","55","50","58330","55740"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","595","555","35730","34500"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","860","805","22080","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","825","785","26370","25440"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","235","230","54670","53940"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","980","935","35380","35900"
"In post","2022","Attorney General's Office","Attorney General's Departments","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","G6/G7","20","20","59500","61000"
"In post","2022","Attorney General's Office","Attorney General's Departments","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","SEO/HEO","10","10","35390","37730"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","465","435","21850","21170"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","EO","915","885","26680","27500"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","3655","3595","60220","56760"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","730","720","100530","93000"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","4165","4120","33820","33250"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","45","45","21170","21510"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","150","140","25260","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","115","110","51980","49040"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","335","320","33080","30660"
"In post","2022","Charity Commission","Charity Commission","AA/AO","30","25","18960","19980"
"In post","2022","Charity Commission","Charity Commission","EO","115","110","25080","24440"
"In post","2022","Charity Commission","Charity Commission","G6/G7","70","65","54510","51070"
"In post","2022","Charity Commission","Charity Commission","SCS level","5","5","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","SEO/HEO","250","240","32520","29370"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","450","395","21710","22740"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","EO","300","285","27410","25460"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","90","90","57170","54920"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","SCS level","5","5","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","330","315","38580","39820"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","AA/AO","20","20","23010","22520"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","EO","70","65","28170","27920"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","G6/G7","445","430","65830","62890"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","SCS level","125","120","107650","99920"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","205","200","37530","35400"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","125","110","21010","20970"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","EO","80","80","25360","25120"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","G6/G7","15","10","57880","59000"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","95","95","31630","30450"
"In post","2022","Crown Commercial Service","Cabinet Office","AA/AO","30","30","20880","20330"
"In post","2022","Crown Commercial Service","Cabinet Office","EO","115","110","25970","25520"
"In post","2022","Crown Commercial Service","Cabinet Office","G6/G7","205","205","55310","54460"
"In post","2022","Crown Commercial Service","Cabinet Office","SCS level","20","20","94110","78300"
"In post","2022","Crown Commercial Service","Cabinet Office","SEO/HEO","440","430","35520","38330"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","AA/AO","790","720","22520","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","EO","385","370","28670","27940"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","225","210","68510","69780"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","SCS level","25","25","86160","83230"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","930","885","42940","41750"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","AA/AO","1450","1330","22660","22200"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","EO","1460","1355","27700","27760"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","G6/G7","3050","2835","57310","55610"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","SCS level","80","80","94590","89080"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","1000","965","35610","35020"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","100","100","20970","21770"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","EO","250","240","29000","29470"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","G6/G7","10","10","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","75","70","37830","34000"
"In post","2022","Defence Equipment and Support","Ministry of Defence","EO","2355","2255","22520","21930"
"In post","2022","Defence Equipment and Support","Ministry of Defence","G6/G7","1790","1740","56200","55000"
"In post","2022","Defence Equipment and Support","Ministry of Defence","SCS level","110","110","102150","93640"
"In post","2022","Defence Equipment and Support","Ministry of Defence","SEO/HEO","6485","6245","35430","34850"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","185","180","20420","18330"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","EO","285","270","24850","23490"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","1945","1865","52740","47760"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","SCS level","5","5","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","2230","2160","34570","38070"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AA/AO","70","65","24720","24900"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","425","415","27810","27680"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","2630","2565","58300","56380"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","330","315","88190","81880"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","2550","2515","38100","38620"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AA/AO","10","10","23930","23560"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","185","185","26790","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","915","900","56230","54300"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","125","120","83590","75700"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","775","770","35420","34020"
"In post","2022","Department for Education (excl. agencies)","Department for Education","AA/AO","85","80","22150","21250"
"In post","2022","Department for Education (excl. agencies)","Department for Education","EO","710","690","26450","25000"
"In post","2022","Department for Education (excl. agencies)","Department for Education","G6/G7","2450","2355","56210","53760"
"In post","2022","Department for Education (excl. agencies)","Department for Education","SCS level","235","225","82340","74100"
"In post","2022","Department for Education (excl. agencies)","Department for Education","SEO/HEO","2820","2725","35720","36500"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","175","160","22870","22140"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","645","625","26680","25520"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","2180","2100","54450","53200"
