"Status","Year","Age","Organisation","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","West Surrey","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Westminster","London","10","10","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Falkirk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","South Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","East Kent","Outside London","[c]","[c]","[c]","[c]"
