"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","London","AA/AO","Heterosexual / straight","45","45","24490","25000"
"In post","2022","Analysis","London","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","London","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","London","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","London","EO","Heterosexual / straight","205","200","28980","28400"
"In post","2022","Analysis","London","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","London","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","London","EO","Unknown","65","65","28750","28310"
"In post","2022","Analysis","London","G6/G7","Heterosexual / straight","1145","1090","62830","60280"
"In post","2022","Analysis","London","G6/G7","LGBO","110","105","59770","58370"
"In post","2022","Analysis","London","G6/G7","Undeclared","185","175","61910","59540"
"In post","2022","Analysis","London","G6/G7","Unknown","175","170","60850","58730"
"In post","2022","Analysis","London","SCS level","Heterosexual / straight","105","105","91650","81770"
"In post","2022","Analysis","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","London","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","London","SCS level","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","London","SEO/HEO","Heterosexual / straight","1130","1110","38420","37930"
"In post","2022","Analysis","London","SEO/HEO","LGBO","120","120","37900","37610"
"In post","2022","Analysis","London","SEO/HEO","Undeclared","150","145","38670","38220"
"In post","2022","Analysis","London","SEO/HEO","Unknown","230","225","38220","37630"
"In post","2022","Analysis","Outside London","AA/AO","Heterosexual / straight","120","115","20870","21250"
"In post","2022","Analysis","Outside London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Outside London","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Outside London","AA/AO","Unknown","50","45","21180","21510"
"In post","2022","Analysis","Outside London","EO","Heterosexual / straight","335","315","25870","25460"
"In post","2022","Analysis","Outside London","EO","LGBO","40","40","25580","25010"
"In post","2022","Analysis","Outside London","EO","Undeclared","40","35","25810","25290"
"In post","2022","Analysis","Outside London","EO","Unknown","150","140","25420","25010"
"In post","2022","Analysis","Outside London","G6/G7","Heterosexual / straight","745","705","55150","52150"
"In post","2022","Analysis","Outside London","G6/G7","LGBO","45","45","53750","52150"
"In post","2022","Analysis","Outside London","G6/G7","Undeclared","55","55","57460","55210"
"In post","2022","Analysis","Outside London","G6/G7","Unknown","345","325","52520","50210"
"In post","2022","Analysis","Outside London","SCS level","Heterosexual / straight","35","35","79670","75060"
"In post","2022","Analysis","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Outside London","SEO/HEO","Heterosexual / straight","1605","1530","35200","35590"
"In post","2022","Analysis","Outside London","SEO/HEO","LGBO","195","195","34290","33080"
"In post","2022","Analysis","Outside London","SEO/HEO","Undeclared","180","170","35320","34190"
"In post","2022","Analysis","Outside London","SEO/HEO","Unknown","710","690","34660","35900"
"In post","2022","Analysis","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
