"Status","Year","Age","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","AA/AO","AA","Female","120","110","19810","20890"
"In post","2022","16-19","AA/AO","AA","Male","115","105","19530","19630"
"In post","2022","16-19","AA/AO","AO","Female","350","345","22140","21260"
"In post","2022","16-19","AA/AO","AO","Male","305","295","22040","21260"
"In post","2022","16-19","EO","EO","Female","120","120","25100","25170"
"In post","2022","16-19","EO","EO","Male","180","180","22450","23930"
"In post","2022","16-19","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Female","20","20","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Male","60","60","18300","17140"
"In post","2022","20-29","AA/AO","AA","Female","1605","1530","20840","20890"
"In post","2022","20-29","AA/AO","AA","Male","1370","1350","20760","20890"
"In post","2022","20-29","AA/AO","AO","Female","12605","12145","22850","21550"
"In post","2022","20-29","AA/AO","AO","Male","10980","10840","23440","21680"
"In post","2022","20-29","EO","EO","Female","13170","12970","27430","27370"
"In post","2022","20-29","EO","EO","Male","9985","9940","27260","27200"
"In post","2022","20-29","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","G6/G7","G6","Female","185","185","65120","64700"
"In post","2022","20-29","G6/G7","G6","Male","175","175","65690","65440"
"In post","2022","20-29","G6/G7","G7","Female","2510","2500","53820","53380"
"In post","2022","20-29","G6/G7","G7","Male","2170","2165","54500","54110"
"In post","2022","20-29","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2022","20-29","SCS level","SCS level","Male","5","5","[c]","[c]"
"In post","2022","20-29","SEO/HEO","HEO","Female","10230","10160","32640","32790"
"In post","2022","20-29","SEO/HEO","HEO","Male","8505","8480","32780","33080"
"In post","2022","20-29","SEO/HEO","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","SEO/HEO","SEO","Female","3685","3660","40270","40180"
"In post","2022","20-29","SEO/HEO","SEO","Male","3130","3120","40300","40180"
"In post","2022","20-29","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","Female","3070","3010","25660","24090"
"In post","2022","20-29","Unknown","Unknown","Male","1180","1170","26840","26110"
