"Status","Year","Ethnicity","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Midlands (England)","Derby","Heterosexual / straight","85","80","25980","24880"
"In post","2022","Asian","East Midlands (England)","Derby","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Derby","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Derby","Unknown","15","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicester","Heterosexual / straight","635","580","25730","22600"
"In post","2022","Asian","East Midlands (England)","Leicester","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicester","Undeclared","50","45","25290","21260"
"In post","2022","Asian","East Midlands (England)","Leicester","Unknown","120","100","25770","22890"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","Heterosexual / straight","110","100","28780","26470"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
