"Status","Year","Organisation","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","110","100","32660","30040"
"In post","2022","Accountant in Bankruptcy","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cheshire","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","105","95","28840","26380"
"In post","2022","Advisory, Conciliation and Arbitration Service","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk CC","40","35","34270","34260"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","80","75","30590","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Essex","Thurrock","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","45","45","32720","30950"
