"Status","Year","Function_of_post","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","AA/AO","30","30","21220","21510"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","EO","105","100","25290","25010"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","G6/G7","85","80","52240","49040"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","SEO/HEO","245","235","33170","30660"
"In post","2022","Analysis","Companies House","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","Digital, Data and Technology","SEO/HEO","10","10","40930","45250"
"In post","2022","Analysis","Companies House","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Statistics","SEO/HEO","10","10","36430","36240"
"In post","2022","Analysis","Competition and Markets Authority","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Economics","G6/G7","65","60","64690","61250"
"In post","2022","Analysis","Competition and Markets Authority","Economics","SCS level","15","15","107440","97750"
"In post","2022","Analysis","Competition and Markets Authority","Economics","SEO/HEO","20","20","34070","33120"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","G6/G7","15","15","62380","57320"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","SEO/HEO","15","15","42350","43880"
"In post","2022","Analysis","Competition and Markets Authority","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","SEO/HEO","20","20","29200","29230"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Delivery","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Delivery","SEO/HEO","10","10","37760","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Research","G6/G7","140","135","50500","47060"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Research","SEO/HEO","130","125","35780","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
