"Status","Year","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Unknown","Outside London","110","100","32650","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","London","15","10","39790","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","40","40","48260","47750"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","20","20","39180","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","London","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","Outside London","10","10","27090","24710"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","London","15","15","39430","36350"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","15","15","37930","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","95","95","40730","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","770","705","30690","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","Outside London","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Outside London","10","10","39150","38750"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","15","15","31980","29180"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","London","95","90","33300","31690"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Outside London","1805","1705","27440","24920"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Unknown","20","20","25480","25130"
"In post","2022","Animal and Plant Health Agency","Other","Outside London","25","25","36190","33790"
