"Status","Year","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","1055","980","42910","44850"
"In post","2022","Asian","Cabinet Office","575","565","45370","40600"
"In post","2022","Asian","Chancellor's other departments","55","50","47300","45130"
"In post","2022","Asian","Charity Commission","10","10","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","110","110","49170","42290"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","945","925","39770","37160"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","160","160","44080","38060"
"In post","2022","Asian","Department for Education","865","845","39980","36570"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","480","465","36040","32560"
"In post","2022","Asian","Department for International Trade","275","270","43990","38540"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","320","315","41290","36340"
"In post","2022","Asian","Department for Transport","645","625","38770","34710"
"In post","2022","Asian","Department for Work and Pensions","8215","7455","28250","27570"
"In post","2022","Asian","Department of Health and Social Care","1280","1210","41920","34530"
"In post","2022","Asian","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","70","70","34940","32350"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","490","475","42830","37560"
"In post","2022","Asian","HM Land Registry","225","210","30920","27130"
"In post","2022","Asian","HM Revenue and Customs","5845","5535","32840","31020"
"In post","2022","Asian","HM Treasury","320","315","45930","41900"
"In post","2022","Asian","Home Office","4490","4180","31920","28910"
"In post","2022","Asian","Ministry of Defence","1455","1410","35170","33000"
"In post","2022","Asian","Ministry of Justice","4450","4135","30050","26310"
"In post","2022","Asian","National Crime Agency","280","275","37800","36740"
"In post","2022","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","100","100","40190","35010"
"In post","2022","Asian","Office of Gas and Electricity Markets","145","140","41570","34910"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","30","25","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","30","30","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Government","300","285","35730","31540"
"In post","2022","Asian","The National Archives","50","45","33970","32980"
"In post","2022","Asian","UK Export Finance","90","90","50050","44080"
"In post","2022","Asian","UK Statistics Authority","185","170","32790","30710"
"In post","2022","Asian","UK Supreme Court","5","5","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","35","35","40780","37590"
"In post","2022","Asian","Welsh Government","70","65","39470","38160"
"In post","2022","Black","Attorney General's Departments","600","575","40470","32490"
"In post","2022","Black","Cabinet Office","285","280","42260","37930"
"In post","2022","Black","Chancellor's other departments","20","20","[c]","[c]"
"In post","2022","Black","Charity Commission","5","5","[c]","[c]"
"In post","2022","Black","Competition and Markets Authority","45","45","41390","38060"
"In post","2022","Black","Department for Business, Energy and Industrial Strategy","490","490","38760","34980"
"In post","2022","Black","Department for Digital, Culture, Media and Sport","105","105","38300","34020"
"In post","2022","Black","Department for Education","320","315","39820","36500"
"In post","2022","Black","Department for Environment, Food and Rural Affairs","255","250","35190","32560"
"In post","2022","Black","Department for International Trade","140","135","39990","38160"
"In post","2022","Black","Department for Levelling Up, Housing and Communities","200","200","39860","36340"
"In post","2022","Black","Department for Transport","275","270","37540","34710"
"In post","2022","Black","Department for Work and Pensions","4075","3845","29460","30170"
"In post","2022","Black","Department of Health and Social Care","660","625","38740","32790"
"In post","2022","Black","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Black","Food Standards Agency","50","45","34930","30280"
"In post","2022","Black","Foreign, Commonwealth and Development Office","265","265","38860","34920"
"In post","2022","Black","HM Land Registry","70","70","33040","30600"
"In post","2022","Black","HM Revenue and Customs","1890","1825","33890","33080"
"In post","2022","Black","HM Treasury","105","105","39590","34330"
"In post","2022","Black","Home Office","1805","1700","33180","29080"
"In post","2022","Black","Ministry of Defence","770","760","33510","32470"
"In post","2022","Black","Ministry of Justice","4085","3930","31080","28310"
"In post","2022","Black","National Crime Agency","100","100","36560","36410"
"In post","2022","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Black","Office for Standards in Education, Children's Services and Skills","60","60","45440","46360"
"In post","2022","Black","Office of Gas and Electricity Markets","90","90","40350","37300"
"In post","2022","Black","Office of Qualifications and Examinations Regulation","10","10","[c]","[c]"
"In post","2022","Black","Office of Rail and Road","20","20","[c]","[c]"
"In post","2022","Black","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Black","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Black","Scottish Government","95","95","36100","31540"
"In post","2022","Black","The National Archives","10","10","[c]","[c]"
"In post","2022","Black","UK Export Finance","45","45","43620","39000"
"In post","2022","Black","UK Statistics Authority","100","90","31930","30710"
"In post","2022","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Black","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2022","Black","Welsh Government","15","15","[c]","[c]"
"In post","2022","Mixed","Attorney General's Departments","290","270","45910","48830"
"In post","2022","Mixed","Cabinet Office","245","240","45670","40600"
"In post","2022","Mixed","Chancellor's other departments","15","15","[c]","[c]"
"In post","2022","Mixed","Charity Commission","5","5","[c]","[c]"
"In post","2022","Mixed","Competition and Markets Authority","35","35","47760","46190"
"In post","2022","Mixed","Department for Business, Energy and Industrial Strategy","370","360","42960","40050"
"In post","2022","Mixed","Department for Digital, Culture, Media and Sport","100","100","45380","38020"
"In post","2022","Mixed","Department for Education","220","215","42510","40230"
"In post","2022","Mixed","Department for Environment, Food and Rural Affairs","235","225","36690","32680"
"In post","2022","Mixed","Department for International Trade","105","105","46670","44030"
"In post","2022","Mixed","Department for Levelling Up, Housing and Communities","105","100","41370","36340"
"In post","2022","Mixed","Department for Transport","250","240","36100","34140"
