"Status","Year","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","AA/AO","Female","170","155","22420","21640"
"In post","2022","Commercial","AA/AO","Male","150","140","22720","21640"
"In post","2022","Commercial","EO","Female","560","525","26440","26350"
"In post","2022","Commercial","EO","Male","345","335","26520","26520"
"In post","2022","Commercial","G6/G7","Female","590","565","56840","54110"
"In post","2022","Commercial","G6/G7","Male","635","625","59030","56240"
"In post","2022","Commercial","SCS level","Female","45","45","86770","78560"
"In post","2022","Commercial","SCS level","Male","60","60","87180","81040"
"In post","2022","Commercial","SEO/HEO","Female","1935","1840","36770","36650"
"In post","2022","Commercial","SEO/HEO","Male","1505","1485","37610","37400"
"In post","2022","Commercial","Unknown","Female","95","95","37610","37400"
"In post","2022","Commercial","Unknown","Male","100","100","42150","39860"
"In post","2022","Communications","AA/AO","Female","120","110","22280","21790"
"In post","2022","Communications","AA/AO","Male","90","90","22350","21830"
"In post","2022","Communications","EO","Female","350","330","27670","27270"
"In post","2022","Communications","EO","Male","255","245","27830","27350"
"In post","2022","Communications","G6/G7","Female","660","630","58280","56710"
"In post","2022","Communications","G6/G7","Male","425","420","59100","57460"
"In post","2022","Communications","SCS level","Female","60","60","87050","81850"
"In post","2022","Communications","SCS level","Male","50","50","90930","85000"
"In post","2022","Communications","SEO/HEO","Female","1290","1235","37800","37710"
"In post","2022","Communications","SEO/HEO","Male","855","850","38180","38160"
"In post","2022","Communications","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Communications","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Female","10","10","[c]","[c]"
"In post","2022","Corporate Finance","EO","Male","5","5","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Female","25","25","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Male","30","30","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Female","40","40","37270","38030"
"In post","2022","Corporate Finance","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Female","1005","810","22530","21260"
"In post","2022","Counter Fraud","AA/AO","Male","485","465","22430","21260"
"In post","2022","Counter Fraud","EO","Female","2185","1920","28110","27570"
"In post","2022","Counter Fraud","EO","Male","1430","1325","28220","27570"
"In post","2022","Counter Fraud","G6/G7","Female","55","50","58240","54760"
"In post","2022","Counter Fraud","G6/G7","Male","110","110","60670","59290"
"In post","2022","Counter Fraud","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Counter Fraud","SEO/HEO","Female","655","620","34940","33720"
"In post","2022","Counter Fraud","SEO/HEO","Male","640","615","35950","34780"
"In post","2022","Digital, Data and Technology","AA/AO","Female","280","265","21790","21280"
