"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","G6","10","10","67260","65960"
"In post","2022","Analysis","Digital, Data and Technology","London","G7","20","20","54210","53420"
"In post","2022","Analysis","Digital, Data and Technology","London","HEO","15","15","35730","36660"
"In post","2022","Analysis","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","SEO","15","15","43800","45250"
"In post","2022","Analysis","Digital, Data and Technology","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South West (England)","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Wales","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Wales","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Wales","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","G7","10","10","51720","50530"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
