"Status","Year","Ethnicity","Region_ITL1","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Midlands (England)","Outside London","AA","30","25","19540","19200"
"In post","2022","Asian","East Midlands (England)","Outside London","AO","735","640","21660","21260"
"In post","2022","Asian","East Midlands (England)","Outside London","EO","605","565","27110","27570"
"In post","2022","Asian","East Midlands (England)","Outside London","G6","20","20","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Outside London","G7","80","75","53950","54690"
"In post","2022","Asian","East Midlands (England)","Outside London","HEO","265","250","32870","33370"
"In post","2022","Asian","East Midlands (England)","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Outside London","SEO","120","120","40470","40180"
"In post","2022","Asian","East Midlands (England)","Outside London","Unknown","80","70","29300","28200"
"In post","2022","Asian","East of England","Outside London","AA","35","30","20040","19810"
"In post","2022","Asian","East of England","Outside London","AO","335","285","23340","21680"
"In post","2022","Asian","East of England","Outside London","EO","450","420","28130","27570"
"In post","2022","Asian","East of England","Outside London","G6","15","15","[c]","[c]"
"In post","2022","Asian","East of England","Outside London","G7","55","55","57890","55210"
"In post","2022","Asian","East of England","Outside London","HEO","130","125","34500","34260"
"In post","2022","Asian","East of England","Outside London","SCS level","15","10","[c]","[c]"
"In post","2022","Asian","East of England","Outside London","SEO","90","90","43650","41100"
"In post","2022","Asian","East of England","Outside London","Unknown","50","45","26920","24800"
"In post","2022","Asian","London","London","AA","275","240","22670","22460"
"In post","2022","Asian","London","London","AO","2080","1845","25480","25110"
"In post","2022","Asian","London","London","EO","4585","4275","29980","30500"
"In post","2022","Asian","London","London","G6","605","585","69520","67700"
"In post","2022","Asian","London","London","G7","1945","1900","56910","55860"
"In post","2022","Asian","London","London","HEO","2935","2860","35820","35200"
"In post","2022","Asian","London","London","SCS level","230","225","90640","82870"
"In post","2022","Asian","London","London","SEO","1960","1920","42890","41970"
"In post","2022","Asian","London","London","Unknown","185","180","32880","32090"
"In post","2022","Asian","North East (England)","Outside London","AA","5","5","[c]","[c]"
"In post","2022","Asian","North East (England)","Outside London","AO","215","190","21460","21260"
"In post","2022","Asian","North East (England)","Outside London","EO","160","150","26710","26820"
"In post","2022","Asian","North East (England)","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Asian","North East (England)","Outside London","G7","50","50","53740","54050"
"In post","2022","Asian","North East (England)","Outside London","HEO","75","75","32960","33080"
"In post","2022","Asian","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","Outside London","SEO","65","65","40410","40520"
"In post","2022","Asian","North East (England)","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","North West (England)","Outside London","AA","50","40","19680","19850"
"In post","2022","Asian","North West (England)","Outside London","AO","1105","980","21360","21260"
"In post","2022","Asian","North West (England)","Outside London","EO","1020","965","26860","27570"
"In post","2022","Asian","North West (England)","Outside London","G6","35","35","68780","67910"
"In post","2022","Asian","North West (England)","Outside London","G7","170","165","53220","53360"
"In post","2022","Asian","North West (England)","Outside London","HEO","505","485","32710","33080"
"In post","2022","Asian","North West (England)","Outside London","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","North West (England)","Outside London","SEO","240","240","40130","40180"
"In post","2022","Asian","North West (England)","Outside London","Unknown","95","90","28860","24800"
"In post","2022","Asian","Northern Ireland","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Overseas","EO","25","25","[c]","[c]"
"In post","2022","Asian","Overseas","Overseas","G6","15","15","[c]","[c]"
"In post","2022","Asian","Overseas","Overseas","G7","25","25","[c]","[c]"
"In post","2022","Asian","Overseas","Overseas","HEO","45","45","35050","34070"
"In post","2022","Asian","Overseas","Overseas","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Overseas","Overseas","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Overseas","Overseas","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Scotland","Outside London","AA","40","35","21380","21050"
"In post","2022","Asian","Scotland","Outside London","AO","215","190","22220","21260"
"In post","2022","Asian","Scotland","Outside London","EO","185","175","27290","27230"
"In post","2022","Asian","Scotland","Outside London","G6","15","15","[c]","[c]"
"In post","2022","Asian","Scotland","Outside London","G7","50","50","58240","56120"
"In post","2022","Asian","Scotland","Outside London","HEO","120","120","33050","33070"
"In post","2022","Asian","Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scotland","Outside London","SEO","100","100","48080","42270"
"In post","2022","Asian","Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","South East (England)","Outside London","AA","105","100","20670","19810"
"In post","2022","Asian","South East (England)","Outside London","AO","390","340","24040","22610"
"In post","2022","Asian","South East (England)","Outside London","EO","580","540","28520","28410"
"In post","2022","Asian","South East (England)","Outside London","G6","10","10","[c]","[c]"
"In post","2022","Asian","South East (England)","Outside London","G7","90","85","56540","54540"
"In post","2022","Asian","South East (England)","Outside London","HEO","195","185","34220","33300"
"In post","2022","Asian","South East (England)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","South East (England)","Outside London","SEO","110","105","41730","40570"
"In post","2022","Asian","South East (England)","Outside London","Unknown","55","50","27180","24090"
"In post","2022","Asian","South West (England)","Outside London","AA","15","15","[c]","[c]"
"In post","2022","Asian","South West (England)","Outside London","AO","115","105","22060","21270"
"In post","2022","Asian","South West (England)","Outside London","EO","205","195","25830","26750"
"In post","2022","Asian","South West (England)","Outside London","G6","20","20","[c]","[c]"
"In post","2022","Asian","South West (England)","Outside London","G7","90","85","52940","51900"
"In post","2022","Asian","South West (England)","Outside London","HEO","215","205","31890","32650"
"In post","2022","Asian","South West (England)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","South West (England)","Outside London","SEO","170","165","40750","40440"
"In post","2022","Asian","South West (England)","Outside London","Unknown","55","50","37560","34000"
"In post","2022","Asian","Unknown","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","AO","50","40","24120","25110"
"In post","2022","Asian","Unknown","Unknown","EO","80","75","29930","30330"
"In post","2022","Asian","Unknown","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","G7","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","HEO","20","20","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Wales","Outside London","AA","20","15","[c]","[c]"
"In post","2022","Asian","Wales","Outside London","AO","180","165","21660","21260"
"In post","2022","Asian","Wales","Outside London","EO","160","155","26750","26820"
"In post","2022","Asian","Wales","Outside London","G6","15","15","[c]","[c]"
"In post","2022","Asian","Wales","Outside London","G7","40","40","55570","54280"
"In post","2022","Asian","Wales","Outside London","HEO","105","105","33020","33080"
"In post","2022","Asian","Wales","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Wales","Outside London","SEO","60","60","42140","40520"
"In post","2022","Asian","Wales","Outside London","Unknown","10","5","[c]","[c]"
"In post","2022","Asian","West Midlands (England)","Outside London","AA","80","70","19810","19200"
"In post","2022","Asian","West Midlands (England)","Outside London","AO","1505","1340","21420","21250"
"In post","2022","Asian","West Midlands (England)","Outside London","EO","1700","1610","26860","27570"
"In post","2022","Asian","West Midlands (England)","Outside London","G6","45","45","66530","65790"
"In post","2022","Asian","West Midlands (England)","Outside London","G7","235","230","52510","51470"
"In post","2022","Asian","West Midlands (England)","Outside London","HEO","705","685","32750","33080"
"In post","2022","Asian","West Midlands (England)","Outside London","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","West Midlands (England)","Outside London","SEO","395","385","39950","40180"
"In post","2022","Asian","West Midlands (England)","Outside London","Unknown","190","175","28420","24800"
"In post","2022","Asian","Yorkshire and The Humber","Outside London","AA","30","25","[c]","[c]"
"In post","2022","Asian","Yorkshire and The Humber","Outside London","AO","905","795","21510","21250"
"In post","2022","Asian","Yorkshire and The Humber","Outside London","EO","1050","990","26840","27570"
"In post","2022","Asian","Yorkshire and The Humber","Outside London","G6","30","25","[c]","[c]"
"In post","2022","Asian","Yorkshire and The Humber","Outside London","G7","155","150","52930","52070"
"In post","2022","Asian","Yorkshire and The Humber","Outside London","HEO","470","450","32500","33080"
"In post","2022","Asian","Yorkshire and The Humber","Outside London","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Yorkshire and The Humber","Outside London","SEO","195","190","39890","40160"
"In post","2022","Asian","Yorkshire and The Humber","Outside London","Unknown","80","75","28140","28200"
"In post","2022","Black","East Midlands (England)","Outside London","AA","20","20","[c]","[c]"
"In post","2022","Black","East Midlands (England)","Outside London","AO","200","185","22540","21260"
"In post","2022","Black","East Midlands (England)","Outside London","EO","195","190","27080","27570"
"In post","2022","Black","East Midlands (England)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","East Midlands (England)","Outside London","G7","15","15","[c]","[c]"
"In post","2022","Black","East Midlands (England)","Outside London","HEO","60","55","33170","33080"
"In post","2022","Black","East Midlands (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","East Midlands (England)","Outside London","SEO","45","45","41090","40180"
"In post","2022","Black","East Midlands (England)","Outside London","Unknown","70","65","27830","26650"
"In post","2022","Black","East of England","Outside London","AA","25","25","[c]","[c]"
"In post","2022","Black","East of England","Outside London","AO","130","125","24680","24250"
"In post","2022","Black","East of England","Outside London","EO","275","260","28820","29290"
"In post","2022","Black","East of England","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","East of England","Outside London","G7","30","30","57760","55210"
"In post","2022","Black","East of England","Outside London","HEO","75","70","34280","33370"
"In post","2022","Black","East of England","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","East of England","Outside London","SEO","40","40","41660","40580"
"In post","2022","Black","East of England","Outside London","Unknown","60","55","29290","26310"
"In post","2022","Black","London","London","AA","295","275","23760","24080"
"In post","2022","Black","London","London","AO","1915","1785","26580","25110"
"In post","2022","Black","London","London","EO","3540","3395","30340","31060"
"In post","2022","Black","London","London","G6","185","185","69570","68700"
"In post","2022","Black","London","London","G7","905","895","56710","54970"
"In post","2022","Black","London","London","HEO","1820","1790","35850","35200"
"In post","2022","Black","London","London","SCS level","70","70","88830","79510"
"In post","2022","Black","London","London","SEO","1110","1100","43060","42000"
"In post","2022","Black","London","London","Unknown","660","645","33460","32090"
"In post","2022","Black","North East (England)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","North East (England)","Outside London","AO","70","60","21360","21260"
"In post","2022","Black","North East (England)","Outside London","EO","45","40","27130","26820"
"In post","2022","Black","North East (England)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","North East (England)","Outside London","G7","10","10","[c]","[c]"
"In post","2022","Black","North East (England)","Outside London","HEO","25","25","[c]","[c]"
"In post","2022","Black","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","North East (England)","Outside London","SEO","15","15","[c]","[c]"
"In post","2022","Black","North East (England)","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Black","North West (England)","Outside London","AA","15","15","[c]","[c]"
"In post","2022","Black","North West (England)","Outside London","AO","255","240","21580","21260"
"In post","2022","Black","North West (England)","Outside London","EO","300","290","26940","27570"
"In post","2022","Black","North West (England)","Outside London","G6","10","10","[c]","[c]"
"In post","2022","Black","North West (England)","Outside London","G7","60","55","52330","50810"
