"Status","Year","Organisation","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scotland","Southern Scotland","AA/AO","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","Scotland","Southern Scotland","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","Scotland","Southern Scotland","G6/G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","Southern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","Southern Scotland","SEO/HEO","35","30","37680","36130"
"In post","2022","Accountant in Bankruptcy","Scotland","West Central Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","15","10","20210","20040"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","EO","40","40","24440","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","45","45","33510","30990"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","EO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","SEO/HEO","25","25","34910","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Inner London - West","AA/AO","10","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Inner London - West","EO","35","30","28410","28420"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Inner London - West","G6/G7","25","25","60870","59470"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Inner London - West","SCS level","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Inner London - West","SEO/HEO","115","110","41330","39120"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland, and Tyne and Wear","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland, and Tyne and Wear","EO","60","55","24610","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland, and Tyne and Wear","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland, and Tyne and Wear","SEO/HEO","75","65","33460","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Tees Valley and Durham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","AA/AO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","EO","55","50","24540","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","SEO/HEO","70","65","34450","34500"
