"Status","Year","Age","Function_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","East Wales","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - West","London","10","10","26770","27680"
"In post","2022","16-19","Analysis","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Derbyshire and Nottinghamshire","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Communications","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Inner London - West","London","10","10","26500","27270"
"In post","2022","16-19","Communications","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Eastern Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Merseyside","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Northumberland, and Tyne and Wear","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Debt","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
