"Status","Year","Organisation","Parent_department","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","Outside London","110","100","32660","30040"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","Outside London","75","70","31420","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bristol, City of","Outside London","45","45","32720","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","Outside London","80","75","30590","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Glasgow City","Outside London","90","80","31610","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Leeds","Outside London","70","65","31460","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Manchester","Outside London","135","125","30020","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North Hampshire","Outside London","25","25","34470","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Nottingham","Outside London","105","95","28840","26380"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Somerset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Suffolk CC","Outside London","40","35","34270","34260"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Tyneside","Outside London","140","130","29880","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Wandsworth","London","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Westminster","London","180","175","42900","38670"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Aberdeen City and Aberdeenshire","Outside London","10","10","34850","36750"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Bristol, City of","Outside London","60","60","24680","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Caithness and Sutherland, and Ross and Cromarty","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cambridgeshire CC","Outside London","25","25","30040","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cardiff and Vale of Glamorgan","Outside London","90","85","28230","24920"
