"Status","Year","Disability","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Counter Fraud","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","Outside London","30","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Legal","London","255","235","59990","62140"
"In post","2022","Declared disabled","Attorney General's Departments","Legal","Outside London","275","255","53650","55610"
"In post","2022","Declared disabled","Attorney General's Departments","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Operational Delivery","London","85","75","29100","27760"
"In post","2022","Declared disabled","Attorney General's Departments","Operational Delivery","Outside London","265","240","27200","25480"
"In post","2022","Declared disabled","Attorney General's Departments","Other","London","40","40","33940","27710"
"In post","2022","Declared disabled","Attorney General's Departments","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Policy","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Policy","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Project Delivery","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Security","Outside London","[c]","[c]","[c]","[c]"
