"Status","Year","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","20","20","42120","35070"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","470","450","34250","30220"
"In post","2022","Analysis","Companies House","25","25","37140","36240"
"In post","2022","Analysis","Competition and Markets Authority","140","130","62030","56360"
"In post","2022","Analysis","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","510","485","41100","38110"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","250","245","42770","37000"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","150","150","48010","52480"
"In post","2022","Analysis","Department for Education (excl. agencies)","200","195","44640","43600"
"In post","2022","Analysis","Department for International Trade","255","250","44050","40270"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","225","220","46950","48200"
"In post","2022","Analysis","Department for Transport (excl. agencies)","345","330","47730","48770"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","630","600","42950","37380"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","410","395","51050","53360"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","60","55","29600","26780"
"In post","2022","Analysis","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","45","45","39940","38430"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","60","55","59570","61400"
"In post","2022","Analysis","Government Actuary's Department","185","175","69850","65470"
"In post","2022","Analysis","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","45","45","44240","39390"
"In post","2022","Analysis","HM Courts and Tribunals Service","60","55","43340","38800"
"In post","2022","Analysis","HM Land Registry","30","30","44870","38550"
"In post","2022","Analysis","HM Prison and Probation Service","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","735","710","46000","40520"
"In post","2022","Analysis","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","50","45","40170","32100"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","40","40","48830","47060"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","300","290","38760","36000"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","495","475","46950","42010"
"In post","2022","Analysis","National Savings and Investments","25","25","48100","47520"
"In post","2022","Analysis","Office for Budget Responsibility","35","35","51220","52530"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","130","125","40410","35010"
"In post","2022","Analysis","Office of Gas and Electricity Markets","175","175","43990","37000"
