"Status","Year","Age","Region_ITL3","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Aberdeen City and Aberdeenshire","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Aberdeen City and Aberdeenshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Aberdeen City and Aberdeenshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Aberdeen City and Aberdeenshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Aberdeen City and Aberdeenshire","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Aberdeen City and Aberdeenshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Aberdeen City and Aberdeenshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Aberdeen City and Aberdeenshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Aberdeen City and Aberdeenshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Aberdeen City and Aberdeenshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Angus and Dundee City","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Angus and Dundee City","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Angus and Dundee City","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Angus and Dundee City","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Angus and Dundee City","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Angus and Dundee City","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Angus and Dundee City","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Angus and Dundee City","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Angus and Dundee City","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Angus and Dundee City","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnet","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnet","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnet","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnet","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnet","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnet","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnet","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnet","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnet","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnet","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Heterosexual / straight","40","40","19480","19460"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Unknown","35","35","17260","17140"
