"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","180","160","43430","40000"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","130","120","42610","39750"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Warrington","25","25","48780","43750"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","30","30","38220","33270"
"In post","2022","Attorney General's Departments","Cumbria","East Cumbria","35","30","37920","31270"
"In post","2022","Attorney General's Departments","Cumbria","West Cumbria","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","300","280","37830","30930"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon","Devon CC","105","100","39890","38000"
"In post","2022","Attorney General's Departments","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Dorset and Somerset","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Anglia","Cambridgeshire CC","15","10","41010","38000"
