"Status","Year","Age","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Aberdeen City and Aberdeenshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Angus and Dundee City","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Barnet","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Barnsley, Doncaster and Rotherham","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","90","90","18650","18030"
"In post","2022","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Bedford","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedford","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Belfast","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bexley and Greenwich","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Birmingham","AA/AO","25","25","21500","21250"
"In post","2022","16-19","Birmingham","EO","10","10","24450","24910"
"In post","2022","16-19","Blackpool","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Blackpool","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bradford","AA/AO","20","15","21250","21250"
"In post","2022","16-19","Bradford","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Breckland and South Norfolk","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Brent","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Brighton and Hove","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bristol, City of","AA/AO","15","15","20600","20970"
"In post","2022","16-19","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Buckinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Buckinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Calderdale and Kirklees","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Calderdale and Kirklees","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cambridgeshire CC","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Camden and City of London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cardiff and Vale of Glamorgan","AA/AO","20","20","21230","21250"
"In post","2022","16-19","Cardiff and Vale of Glamorgan","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Central Hampshire","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Central Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","City of Edinburgh","AA/AO","40","35","21660","21090"
"In post","2022","16-19","City of Edinburgh","EO","5","5","[c]","[c]"
"In post","2022","16-19","Clackmannanshire and Fife","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Coventry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Coventry","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Croydon","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Croydon","EO","[c]","[c]","[c]","[c]"
