"Status","Year","Function_of_post","Region_ITL2","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Bedford","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Bedford","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Central Bedfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Hertfordshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Hertfordshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Luton","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","Cheshire East","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","Cheshire East","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","East Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","East Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","East Cumbria","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","East Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","East Cumbria","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Cumbria","West Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","West Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Nottingham","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Nottingham","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Nottingham","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Nottingham","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Nottingham","SEO","10","10","40150","40470"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","Devon CC","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Devon","Devon CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","Devon CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","Devon CC","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","Plymouth","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Devon","Plymouth","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","Plymouth","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","Plymouth","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","Torbay","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","Bournemouth, Christchurch and Poole","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","Bournemouth, Christchurch and Poole","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","Dorset","AO","10","10","21510","21510"
"In post","2022","Analysis","Dorset and Somerset","Dorset","EO","30","30","25180","25010"
"In post","2022","Analysis","Dorset and Somerset","Dorset","G6","10","10","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","Dorset","G7","15","15","49810","49510"
"In post","2022","Analysis","Dorset and Somerset","Dorset","HEO","40","35","29950","29750"
"In post","2022","Analysis","Dorset and Somerset","Dorset","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","Dorset","SEO","25","20","37450","36580"
"In post","2022","Analysis","Dorset and Somerset","Somerset CC","EO","[c]","[c]","[c]","[c]"
