"Status","Year","Function_of_post","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","London","AO","Heterosexual / straight","45","45","24490","25000"
"In post","2022","Analysis","London","AO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","London","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","London","AO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","London","EO","Heterosexual / straight","205","200","28980","28400"
"In post","2022","Analysis","London","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","London","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","London","EO","Unknown","65","65","28750","28310"
"In post","2022","Analysis","London","G6","Heterosexual / straight","355","335","75140","70820"
"In post","2022","Analysis","London","G6","LGBO","25","25","[c]","[c]"
"In post","2022","Analysis","London","G6","Undeclared","55","50","74890","70180"
"In post","2022","Analysis","London","G6","Unknown","35","35","74470","70930"
"In post","2022","Analysis","London","G7","Heterosexual / straight","785","755","57240","56730"
"In post","2022","Analysis","London","G7","LGBO","85","80","56750","55070"
"In post","2022","Analysis","London","G7","Undeclared","135","130","56770","54960"
"In post","2022","Analysis","London","G7","Unknown","140","135","57540","55880"
"In post","2022","Analysis","London","HEO","Heterosexual / straight","715","705","35470","35000"
"In post","2022","Analysis","London","HEO","LGBO","85","85","35290","34710"
"In post","2022","Analysis","London","HEO","Undeclared","90","90","35770","34850"
"In post","2022","Analysis","London","HEO","Unknown","150","150","35370","34710"
"In post","2022","Analysis","London","SCS level","Heterosexual / straight","105","105","91650","81770"
"In post","2022","Analysis","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","London","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","London","SCS level","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","London","SEO","Heterosexual / straight","415","405","43480","42890"
"In post","2022","Analysis","London","SEO","LGBO","40","40","43610","43400"
"In post","2022","Analysis","London","SEO","Undeclared","60","55","43180","41940"
"In post","2022","Analysis","London","SEO","Unknown","75","75","43930","42890"
"In post","2022","Analysis","Outside London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
