"Status","Year","Ethnicity","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","40","40","43310","39830"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Department for International Trade","35","35","44370","47870"
"In post","2022","Asian","Analysis","Department for Levelling Up, Housing and Communities","30","30","44120","41290"
"In post","2022","Asian","Analysis","Department for Transport","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Work and Pensions","50","45","39150","36650"
"In post","2022","Asian","Analysis","Department of Health and Social Care","45","45","46460","53100"
"In post","2022","Asian","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Revenue and Customs","90","90","45150","40520"
"In post","2022","Asian","Analysis","HM Treasury","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Defence","30","30","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Justice","60","55","45120","42010"
"In post","2022","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Gas and Electricity Markets","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Rail and Road","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","UK Export Finance","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","UK Statistics Authority","80","75","36220","33710"
"In post","2022","Asian","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
