"Status","Year","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","3925","3575","22670","21260"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","EO","3735","3450","27200","27130"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","1350","1300","57950","55210"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","75","75","92900","87400"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","3845","3665","36170","33840"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","775","695","29470","28200"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","2730","2460","22520","21260"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","1805","1670","27620","27570"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","230","220","58360","55610"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","10","10","83450","75840"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","935","885","37240","36050"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","565","525","29570","28200"
"In post","2022","East Midlands (England)","Lincolnshire","AA/AO","1310","1225","22530","21260"
"In post","2022","East Midlands (England)","Lincolnshire","EO","750","700","27720","27570"
"In post","2022","East Midlands (England)","Lincolnshire","G6/G7","120","115","59520","55610"
"In post","2022","East Midlands (England)","Lincolnshire","SCS level","5","5","[c]","[c]"
"In post","2022","East Midlands (England)","Lincolnshire","SEO/HEO","620","595","36860","35630"
"In post","2022","East Midlands (England)","Lincolnshire","Unknown","210","200","30180","28200"
"In post","2022","East of England","Bedfordshire and Hertfordshire","AA/AO","1185","1110","24850","23720"
"In post","2022","East of England","Bedfordshire and Hertfordshire","EO","1610","1500","29030","29290"
"In post","2022","East of England","Bedfordshire and Hertfordshire","G6/G7","410","395","61400","59730"
"In post","2022","East of England","Bedfordshire and Hertfordshire","SCS level","40","40","89690","88300"
"In post","2022","East of England","Bedfordshire and Hertfordshire","SEO/HEO","1045","1010","38850","37750"
"In post","2022","East of England","Bedfordshire and Hertfordshire","Unknown","405","375","29580","28200"
"In post","2022","East of England","East Anglia","AA/AO","4815","4425","23830","21680"
"In post","2022","East of England","East Anglia","EO","3295","3040","27740","27570"
"In post","2022","East of England","East Anglia","G6/G7","750","720","57870","54540"
"In post","2022","East of England","East Anglia","SCS level","65","60","100950","97990"
"In post","2022","East of England","East Anglia","SEO/HEO","3120","2990","36440","34500"
"In post","2022","East of England","East Anglia","Unknown","870","795","28390","26310"
"In post","2022","East of England","Essex","AA/AO","1420","1290","23860","23520"
"In post","2022","East of England","Essex","EO","2055","1870","28750","29290"
"In post","2022","East of England","Essex","G6/G7","310","295","59600","55210"
"In post","2022","East of England","Essex","SCS level","30","25","96170","89220"
"In post","2022","East of England","Essex","SEO/HEO","1045","985","37040","35980"
"In post","2022","East of England","Essex","Unknown","460","425","28950","26310"
"In post","2022","London","Inner London - East","AA/AO","2655","2430","26480","25110"
"In post","2022","London","Inner London - East","EO","4955","4730","31250","31060"
"In post","2022","London","Inner London - East","G6/G7","3970","3835","63120","62120"
"In post","2022","London","Inner London - East","SCS level","600","575","97380","91750"
"In post","2022","London","Inner London - East","SEO/HEO","5845","5695","40300","40070"
"In post","2022","London","Inner London - East","Unknown","1020","980","35530","34100"
"In post","2022","London","Inner London - West","AA/AO","4015","3815","26030","24370"
"In post","2022","London","Inner London - West","EO","7100","6910","29340","28880"
"In post","2022","London","Inner London - West","G6/G7","22765","22045","59980","57680"
"In post","2022","London","Inner London - West","SCS level","3715","3600","89840","80050"
"In post","2022","London","Inner London - West","SEO/HEO","22890","22500","38180","38020"
"In post","2022","London","Inner London - West","Unknown","280","275","36830","35310"
"In post","2022","London","Outer London - East and North East","AA/AO","1460","1355","27040","25110"
"In post","2022","London","Outer London - East and North East","EO","1745","1615","31310","31060"
