"Status","Year","Organisation","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scotland","Heterosexual / straight","75","70","33710","30040"
"In post","2022","Accountant in Bankruptcy","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","Unknown","30","25","28310","23230"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Heterosexual / straight","55","50","29720","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","LGBO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Undeclared","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Unknown","30","30","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Heterosexual / straight","35","30","35280","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Undeclared","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","135","130","44300","39240"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","LGBO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Undeclared","25","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Unknown","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Heterosexual / straight","100","90","30220","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","LGBO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Undeclared","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Unknown","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Heterosexual / straight","105","95","31400","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","LGBO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Undeclared","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Unknown","15","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","Heterosexual / straight","70","65","32410","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","Undeclared","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","Unknown","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Undeclared","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Heterosexual / straight","45","40","34810","32230"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Undeclared","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","Heterosexual / straight","60","55","31790","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","LGBO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","Undeclared","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","Unknown","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Heterosexual / straight","55","50","32280","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Undeclared","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Unknown","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Heterosexual / straight","45","40","33590","31950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","LGBO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Undeclared","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Unknown","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Heterosexual / straight","65","65","31510","29180"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Undeclared","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Unknown","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","Heterosexual / straight","120","115","31400","29180"
"In post","2022","Animal and Plant Health Agency","East of England","LGBO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","Undeclared","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","Unknown","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Heterosexual / straight","75","75","34220","31690"
"In post","2022","Animal and Plant Health Agency","London","LGBO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Unknown","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North East (England)","Heterosexual / straight","35","35","30070","25190"
"In post","2022","Animal and Plant Health Agency","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North East (England)","Undeclared","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North West (England)","Heterosexual / straight","220","205","27320","24920"
"In post","2022","Animal and Plant Health Agency","North West (England)","LGBO","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North West (England)","Undeclared","40","35","30090","25150"
"In post","2022","Animal and Plant Health Agency","North West (England)","Unknown","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scotland","Heterosexual / straight","105","105","31890","26520"
"In post","2022","Animal and Plant Health Agency","Scotland","LGBO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scotland","Undeclared","20","20","[c]","[c]"
