"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","Westminster","10","10","51300","53360"
"In post","2022","Analysis","Commercial","Merseyside","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South Yorkshire","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Merseyside","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Wales","Cardiff and Vale of Glamorgan","15","15","38370","36530"
"In post","2022","Analysis","Digital, Data and Technology","Eastern Scotland","City of Edinburgh","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","15","15","36370","36500"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","Manchester","10","10","38550","37590"
"In post","2022","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","Tower Hamlets","10","10","55810","56120"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","Westminster","50","50","48860","45250"
"In post","2022","Analysis","Digital, Data and Technology","South Yorkshire","Sheffield","25","20","43580","42210"
"In post","2022","Analysis","Digital, Data and Technology","Tees Valley and Durham","Darlington","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands","Coventry","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Wales and The Valleys","Central Valleys","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Bedfordshire and Hertfordshire","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Devon","Torbay","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Wales","Monmouthshire and Newport","130","130","33890","30710"
"In post","2022","Analysis","Economics","Eastern Scotland","City of Edinburgh","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Greater Manchester","Greater Manchester South West","10","10","[c]","[c]"
