"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","AA/AO","15","15","19060","19380"
"In post","2022","16-19","Digital, Data and Technology","EO","10","10","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","EO","20","20","25210","24300"
"In post","2022","16-19","Finance","AA/AO","10","5","[c]","[c]"
"In post","2022","16-19","Finance","EO","20","20","20840","19460"
"In post","2022","16-19","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","15","10","21270","21200"
"In post","2022","16-19","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","AA/AO","595","565","21560","21250"
"In post","2022","16-19","Operational Delivery","EO","60","60","26510","27570"
"In post","2022","16-19","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","AA/AO","45","45","21910","21260"
"In post","2022","16-19","Other","EO","25","25","20940","19460"
"In post","2022","16-19","Other","Unknown","35","35","18130","16720"
"In post","2022","16-19","Policy","AA/AO","10","10","22220","21300"
"In post","2022","16-19","Policy","EO","30","30","25360","25170"
"In post","2022","16-19","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","5","5","[c]","[c]"
"In post","2022","16-19","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","EO","15","15","26130","26030"
"In post","2022","16-19","Property","Unknown","15","15","19130","16630"
"In post","2022","16-19","Science and Engineering","AA/AO","35","35","19070","19450"
"In post","2022","16-19","Science and Engineering","EO","60","60","18210","17140"
"In post","2022","16-19","Science and Engineering","Unknown","20","20","18070","17140"
"In post","2022","16-19","Security","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","AA/AO","60","55","21250","21250"
"In post","2022","16-19","Tax","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","75","70","21730","21050"
"In post","2022","16-19","Unknown","EO","25","25","26370","27230"
"In post","2022","16-19","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","AA/AO","70","65","21820","21640"
"In post","2022","20-29","Commercial","EO","305","305","25570","26300"
"In post","2022","20-29","Commercial","G6/G7","75","75","54710","53360"
"In post","2022","20-29","Commercial","SEO/HEO","580","580","34620","34500"
"In post","2022","20-29","Commercial","Unknown","30","30","27590","27060"
"In post","2022","20-29","Communications","AA/AO","65","65","22570","21930"
"In post","2022","20-29","Communications","EO","205","205","27300","27270"
"In post","2022","20-29","Communications","G6/G7","90","90","55710","53420"
"In post","2022","20-29","Communications","SEO/HEO","525","520","36420","35900"
"In post","2022","20-29","Communications","Unknown","5","5","[c]","[c]"
