"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","London","AA/AO","Female","280","255","23530","23770"
"In post","2022","Attorney General's Departments","London","AA/AO","Male","145","145","23330","23770"
"In post","2022","Attorney General's Departments","London","EO","Female","530","500","28430","27580"
"In post","2022","Attorney General's Departments","London","EO","Male","250","245","28610","27760"
"In post","2022","Attorney General's Departments","London","G6/G7","Female","1700","1530","59420","59080"
"In post","2022","Attorney General's Departments","London","G6/G7","Male","950","925","61460","62590"
"In post","2022","Attorney General's Departments","London","SCS level","Female","155","145","86480","80000"
"In post","2022","Attorney General's Departments","London","SCS level","Male","105","105","87010","82720"
"In post","2022","Attorney General's Departments","London","SEO/HEO","Female","375","365","37160","37730"
"In post","2022","Attorney General's Departments","London","SEO/HEO","Male","310","305","37220","37730"
"In post","2022","Attorney General's Departments","Outside London","AA/AO","Female","830","740","22440","22200"
"In post","2022","Attorney General's Departments","Outside London","AA/AO","Male","270","265","22390","22200"
"In post","2022","Attorney General's Departments","Outside London","EO","Female","830","755","27390","27570"
"In post","2022","Attorney General's Departments","Outside London","EO","Male","265","260","27240","27050"
"In post","2022","Attorney General's Departments","Outside London","G6/G7","Female","1440","1285","55190","54770"
"In post","2022","Attorney General's Departments","Outside London","G6/G7","Male","935","905","57150","55610"
"In post","2022","Attorney General's Departments","Outside London","SCS level","Female","35","30","89270","83400"
"In post","2022","Attorney General's Departments","Outside London","SCS level","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Outside London","SEO/HEO","Female","515","490","35530","35020"
"In post","2022","Attorney General's Departments","Outside London","SEO/HEO","Male","255","255","35370","34480"
"In post","2022","Attorney General's Departments","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","London","AA/AO","Female","65","60","24150","24490"
"In post","2022","Cabinet Office","London","AA/AO","Male","50","50","24350","24490"
"In post","2022","Cabinet Office","London","EO","Female","325","315","27740","27500"
"In post","2022","Cabinet Office","London","EO","Male","220","220","27670","27500"
"In post","2022","Cabinet Office","London","G6/G7","Female","1330","1295","59940","56340"
"In post","2022","Cabinet Office","London","G6/G7","Male","1370","1360","60550","57790"
"In post","2022","Cabinet Office","London","SCS level","Female","255","250","92730","83870"
"In post","2022","Cabinet Office","London","SCS level","Male","345","345","104630","94860"
"In post","2022","Cabinet Office","London","SEO/HEO","Female","1505","1490","34090","34550"
"In post","2022","Cabinet Office","London","SEO/HEO","Male","1130","1130","34770","34550"
"In post","2022","Cabinet Office","Outside London","AA/AO","Female","225","200","21120","21050"
"In post","2022","Cabinet Office","Outside London","AA/AO","Male","155","150","21070","21050"
"In post","2022","Cabinet Office","Outside London","EO","Female","305","285","25300","25520"
"In post","2022","Cabinet Office","Outside London","EO","Male","175","170","25340","25520"
"In post","2022","Cabinet Office","Outside London","G6/G7","Female","630","615","58120","54700"
"In post","2022","Cabinet Office","Outside London","G6/G7","Male","590","590","60960","60500"
"In post","2022","Cabinet Office","Outside London","SCS level","Female","60","60","100650","92250"
"In post","2022","Cabinet Office","Outside London","SCS level","Male","100","100","103860","96390"
"In post","2022","Cabinet Office","Outside London","SEO/HEO","Female","960","925","34060","33000"
