"Status","Year","Ethnicity","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","EO","5","5","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","London","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Outside London","HEO","20","15","[c]","[c]"
