"Status","Year","Age","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","London","Heterosexual / straight","80","80","25230","25110"
"In post","2022","16-19","London","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","London","Undeclared","10","10","[c]","[c]"
"In post","2022","16-19","London","Unknown","45","45","26440","25630"
"In post","2022","16-19","Outside London","Heterosexual / straight","585","570","21570","21250"
"In post","2022","16-19","Outside London","LGBO","45","45","22410","21450"
"In post","2022","16-19","Outside London","Undeclared","30","30","21440","21210"
"In post","2022","16-19","Outside London","Unknown","435","415","21120","21250"
"In post","2022","16-19","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","35","35","17940","16450"
"In post","2022","20-29","London","Heterosexual / straight","14105","14010","36850","34020"
"In post","2022","20-29","London","LGBO","1985","1975","38300","34710"
"In post","2022","20-29","London","Undeclared","1745","1730","37790","34260"
"In post","2022","20-29","London","Unknown","6115","6090","35300","32390"
"In post","2022","20-29","Outside London","Heterosexual / straight","36465","35865","27190","26410"
"In post","2022","20-29","Outside London","LGBO","4615","4550","27020","26350"
"In post","2022","20-29","Outside London","Undeclared","2630","2585","27810","26820"
"In post","2022","20-29","Outside London","Unknown","15785","15495","26260","24880"
"In post","2022","20-29","Overseas","Heterosexual / straight","205","205","34300","32800"
"In post","2022","20-29","Overseas","LGBO","30","30","37950","33930"
"In post","2022","20-29","Overseas","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Overseas","Unknown","70","70","38710","38300"
"In post","2022","20-29","Unknown","Heterosexual / straight","155","155","30150","28000"
"In post","2022","20-29","Unknown","LGBO","25","25","[c]","[c]"
"In post","2022","20-29","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","600","600","29060","28980"
"In post","2022","30-39","London","Heterosexual / straight","16935","16405","46040","42450"
"In post","2022","30-39","London","LGBO","1605","1595","47890","47170"
"In post","2022","30-39","London","Undeclared","2035","1980","46960","44500"
"In post","2022","30-39","London","Unknown","4635","4515","45920","41950"
"In post","2022","30-39","Outside London","Heterosexual / straight","56935","53815","31900","28550"
"In post","2022","30-39","Outside London","LGBO","4805","4705","31850","28010"
"In post","2022","30-39","Outside London","Undeclared","5130","4890","32440","30140"
"In post","2022","30-39","Outside London","Unknown","17750","16710","30660","27570"
"In post","2022","30-39","Overseas","Heterosexual / straight","665","665","45930","45710"
"In post","2022","30-39","Overseas","LGBO","75","75","47810","52430"
"In post","2022","30-39","Overseas","Undeclared","85","85","45020","42200"
"In post","2022","30-39","Overseas","Unknown","210","210","49390","51500"
"In post","2022","30-39","Unknown","Heterosexual / straight","155","150","34320","31060"
"In post","2022","30-39","Unknown","LGBO","20","20","[c]","[c]"
"In post","2022","30-39","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2022","30-39","Unknown","Unknown","475","475","37320","33570"
"In post","2022","40-49","London","Heterosexual / straight","15675","14930","48910","43720"
"In post","2022","40-49","London","LGBO","1010","990","52750","53050"
"In post","2022","40-49","London","Undeclared","2055","1960","48160","43660"
"In post","2022","40-49","London","Unknown","4030","3800","48600","42560"
"In post","2022","40-49","Outside London","Heterosexual / straight","63260","59295","34490","30360"
"In post","2022","40-49","Outside London","LGBO","3210","3115","34600","30040"
"In post","2022","40-49","Outside London","Undeclared","7705","7220","33730","30210"
"In post","2022","40-49","Outside London","Unknown","17730","16290","32960","27570"
"In post","2022","40-49","Overseas","Heterosexual / straight","795","790","52800","54470"
"In post","2022","40-49","Overseas","LGBO","45","45","60000","62320"
"In post","2022","40-49","Overseas","Undeclared","85","85","45180","40290"
"In post","2022","40-49","Overseas","Unknown","230","225","52850","52430"
"In post","2022","40-49","Unknown","Heterosexual / straight","200","190","37050","31930"
"In post","2022","40-49","Unknown","LGBO","15","15","[c]","[c]"
"In post","2022","40-49","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2022","40-49","Unknown","Unknown","420","410","40860","35380"
"In post","2022","50-59","London","Heterosexual / straight","16245","15710","45280","38450"
"In post","2022","50-59","London","LGBO","780","760","49190","42870"
"In post","2022","50-59","London","Undeclared","2800","2700","44450","38230"
"In post","2022","50-59","London","Unknown","4320","4135","44930","37610"
"In post","2022","50-59","Outside London","Heterosexual / straight","80200","75300","33710","28670"
"In post","2022","50-59","Outside London","LGBO","2775","2655","33230","28710"
"In post","2022","50-59","Outside London","Undeclared","12455","11605","33010","28350"
"In post","2022","50-59","Outside London","Unknown","21630","19750","32300","27570"
"In post","2022","50-59","Overseas","Heterosexual / straight","675","670","52470","52400"
"In post","2022","50-59","Overseas","LGBO","25","25","[c]","[c]"
"In post","2022","50-59","Overseas","Undeclared","130","130","49610","46590"
"In post","2022","50-59","Overseas","Unknown","135","135","53290","52740"
"In post","2022","50-59","Unknown","Heterosexual / straight","255","240","34150","31060"
"In post","2022","50-59","Unknown","LGBO","5","5","[c]","[c]"
"In post","2022","50-59","Unknown","Undeclared","45","40","33170","28450"
"In post","2022","50-59","Unknown","Unknown","560","555","42240","37300"
