"Status","Year","Organisation","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","Outside London","110","100","32660","30040"
"In post","2022","Accountant in Bankruptcy","West Central Scotland","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cheshire","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","Outside London","105","95","28840","26380"
"In post","2022","Advisory, Conciliation and Arbitration Service","Devon","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Somerset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk CC","Outside London","40","35","34270","34260"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","Outside London","80","75","30590","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Wales","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Essex","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Essex","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Outside London","45","45","32720","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","Outside London","135","125","30020","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","Outside London","25","25","34470","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Wandsworth","London","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","London","180","175","42900","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Kent","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Kent","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Kent","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Kent","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Lancashire","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Merseyside","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Merseyside","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Merseyside","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Northumberland, and Tyne and Wear","Tyneside","Outside London","140","130","29880","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Shropshire and Staffordshire","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","Outside London","90","80","31610","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","Outside London","75","70","31420","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","Outside London","70","65","31460","30950"
"In post","2022","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","10","10","33670","30670"
"In post","2022","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","15","15","41660","42780"
"In post","2022","Animal and Plant Health Agency","Cheshire","Cheshire East","Outside London","35","30","33160","29860"
"In post","2022","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","60","55","31730","29180"
"In post","2022","Animal and Plant Health Agency","Cumbria","East Cumbria","Outside London","160","150","25320","21300"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Nottingham","Outside London","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","20","20","30110","27190"
"In post","2022","Animal and Plant Health Agency","Devon","Devon CC","Outside London","210","195","27990","24920"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Dorset","Outside London","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Somerset CC","Outside London","35","35","34500","35900"
"In post","2022","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","Outside London","25","25","30040","29180"
"In post","2022","Animal and Plant Health Agency","East Anglia","North and West Norfolk","Outside London","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Norwich and East Norfolk","Outside London","10","10","33500","30670"
"In post","2022","Animal and Plant Health Agency","East Anglia","Suffolk CC","Outside London","45","45","31830","29840"
"In post","2022","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","Outside London","90","85","28230","24920"
"In post","2022","Animal and Plant Health Agency","East Wales","Powys","Outside London","20","20","32650","35900"
"In post","2022","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","20","20","28570","24920"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","Outside London","10","10","37620","33130"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross, and Stirling","Outside London","45","40","34750","29180"
"In post","2022","Animal and Plant Health Agency","Essex","Heart of Essex","Outside London","45","40","29590","28340"
"In post","2022","Animal and Plant Health Agency","Essex","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Outside London","60","60","24680","21300"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","Outside London","65","60","31310","29180"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Outside London","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Greater Manchester","Manchester","Outside London","15","15","29560","29180"
"In post","2022","Animal and Plant Health Agency","Hampshire and Isle of Wight","Central Hampshire","Outside London","35","35","29530","25940"
"In post","2022","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","Outside London","170","155","30080","28000"
