"Status","Year","Age","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Revenue and Customs","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Justice","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Attorney General's Departments","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Cabinet Office","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","35","35","22450","21300"
"In post","2022","16-19","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport","40","35","19930","18310"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions","125","125","23060","21260"
"In post","2022","16-19","Declared non-disabled","Department of Health and Social Care","15","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Land Registry","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs","90","90","22330","21250"
"In post","2022","16-19","Declared non-disabled","HM Treasury","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Home Office","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","95","95","19400","19460"
"In post","2022","16-19","Declared non-disabled","Ministry of Justice","100","100","23290","23140"
"In post","2022","16-19","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Government","40","40","21940","21050"
"In post","2022","16-19","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Statistics Authority","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
