"Status","Year","Ethnicity","Region_ITL1","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Midlands (England)","Derby","Female","70","60","24790","21260"
"In post","2022","Asian","East Midlands (England)","Derby","Male","40","35","27920","27570"
"In post","2022","Asian","East Midlands (England)","Derby","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","East Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicester","Female","465","395","25380","22600"
"In post","2022","Asian","East Midlands (England)","Leicester","Male","360","340","26130","24370"
"In post","2022","Asian","East Midlands (England)","Leicester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","Female","75","65","26780","25210"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","Male","55","50","29920","26590"
"In post","2022","Asian","East Midlands (England)","Leicestershire CC and Rutland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","Female","10","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","Male","10","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Lincolnshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","Female","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","Male","10","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","Female","10","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","Male","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","North Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Nottingham","Female","375","345","31400","27570"
"In post","2022","Asian","East Midlands (England)","Nottingham","Male","315","305","31750","28920"
"In post","2022","Asian","East Midlands (England)","Nottingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South and West Derbyshire","Female","15","15","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South and West Derbyshire","Male","10","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South and West Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South Nottinghamshire","Female","15","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South Nottinghamshire","Male","15","15","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","South Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","West Northamptonshire","Female","35","35","27480","26750"
"In post","2022","Asian","East Midlands (England)","West Northamptonshire","Male","40","35","28150","27570"
"In post","2022","Asian","East Midlands (England)","West Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Bedford","Female","60","55","27120","27570"
"In post","2022","Asian","East of England","Bedford","Male","30","25","[c]","[c]"
"In post","2022","Asian","East of England","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Cambridgeshire CC","Female","40","35","32380","27570"
"In post","2022","Asian","East of England","Cambridgeshire CC","Male","50","50","34820","29000"
"In post","2022","Asian","East of England","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Central Bedfordshire","Male","10","10","[c]","[c]"
"In post","2022","Asian","East of England","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Essex Haven Gateway","Female","10","10","[c]","[c]"
"In post","2022","Asian","East of England","Essex Haven Gateway","Male","15","10","[c]","[c]"
"In post","2022","Asian","East of England","Essex Haven Gateway","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Essex Thames Gateway","Female","30","30","26680","25110"
"In post","2022","Asian","East of England","Essex Thames Gateway","Male","15","15","[c]","[c]"
"In post","2022","Asian","East of England","Essex Thames Gateway","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Heart of Essex","Female","25","25","[c]","[c]"
"In post","2022","Asian","East of England","Heart of Essex","Male","10","10","[c]","[c]"
"In post","2022","Asian","East of England","Heart of Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Hertfordshire CC","Female","245","230","35350","29610"
"In post","2022","Asian","East of England","Hertfordshire CC","Male","125","125","35710","30940"
