"Status","Year","Parent_department","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","East Midlands (England)","Outside London","490","450","39250","38000"
"In post","2022","Attorney General's Departments","East of England","Outside London","515","465","41490","36240"
"In post","2022","Attorney General's Departments","London","London","4805","4520","49870","51250"
"In post","2022","Attorney General's Departments","North East (England)","Outside London","355","325","39240","34480"
"In post","2022","Attorney General's Departments","North West (England)","Outside London","1015","945","39430","34480"
"In post","2022","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Outside London","735","685","42520","39540"
"In post","2022","Attorney General's Departments","South West (England)","Outside London","365","340","42390","48080"
"In post","2022","Attorney General's Departments","Wales","Outside London","395","365","40850","38180"
"In post","2022","Attorney General's Departments","West Midlands (England)","Outside London","590","555","40870","38180"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","Outside London","935","870","40950","38180"
"In post","2022","Cabinet Office","East Midlands (England)","Outside London","65","60","53070","51650"
"In post","2022","Cabinet Office","East of England","Outside London","260","245","44000","38980"
"In post","2022","Cabinet Office","London","London","6600","6515","50210","49700"
"In post","2022","Cabinet Office","North East (England)","Outside London","480","450","30580","25550"
"In post","2022","Cabinet Office","North West (England)","Outside London","950","935","43490","38980"
"In post","2022","Cabinet Office","Northern Ireland","Outside London","10","10","31770","32000"
"In post","2022","Cabinet Office","Scotland","Outside London","300","295","42950","33330"
"In post","2022","Cabinet Office","South East (England)","Outside London","240","235","46050","34640"
"In post","2022","Cabinet Office","South West (England)","Outside London","280","275","53930","49700"
"In post","2022","Cabinet Office","Unknown","Unknown","475","475","37420","32000"
"In post","2022","Cabinet Office","Wales","Outside London","205","200","38480","33080"
"In post","2022","Cabinet Office","West Midlands (England)","Outside London","255","255","52620","44390"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Outside London","930","895","39190","33300"
"In post","2022","Chancellor's other departments","London","London","360","340","60480","53090"
"In post","2022","Chancellor's other departments","North East (England)","Outside London","20","20","47120","47870"
"In post","2022","Chancellor's other departments","North West (England)","Outside London","20","20","43160","40290"
"In post","2022","Chancellor's other departments","Scotland","Outside London","25","25","57330","47000"
"In post","2022","Charity Commission","London","London","80","80","44120","37910"
"In post","2022","Charity Commission","North West (England)","Outside London","345","325","31850","29160"
"In post","2022","Charity Commission","South West (England)","Outside London","35","35","31780","29540"
"In post","2022","Charity Commission","Wales","Outside London","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","London","London","795","770","61480","57060"
"In post","2022","Competition and Markets Authority","Northern Ireland","Outside London","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Scotland","Outside London","55","55","58200","55860"
"In post","2022","Competition and Markets Authority","Wales","Outside London","5","5","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Outside London","230","220","31320","30950"
"In post","2022","Department for Business, Energy and Industrial Strategy","East of England","Outside London","210","200","33740","32730"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","London","5960","5825","48850","46880"
"In post","2022","Department for Business, Energy and Industrial Strategy","North East (England)","Outside London","225","210","32890","30950"
"In post","2022","Department for Business, Energy and Industrial Strategy","North West (England)","Outside London","660","635","35950","34390"
"In post","2022","Department for Business, Energy and Industrial Strategy","Northern Ireland","Outside London","45","45","30500","31150"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","Overseas","30","30","36040","37420"
"In post","2022","Department for Business, Energy and Industrial Strategy","Scotland","Outside London","420","400","36300","31210"
"In post","2022","Department for Business, Energy and Industrial Strategy","South East (England)","Outside London","260","245","35020","34390"
"In post","2022","Department for Business, Energy and Industrial Strategy","South West (England)","Outside London","2100","2000","40000","39650"
"In post","2022","Department for Business, Energy and Industrial Strategy","Wales","Outside London","2995","2810","35010","30660"
"In post","2022","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Outside London","730","695","34940","30950"
"In post","2022","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Outside London","205","195","32990","31140"
"In post","2022","Department for Digital, Culture, Media and Sport","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","London","London","1785","1755","47680","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","North East (England)","Outside London","20","20","39160","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","North West (England)","Outside London","120","120","41400","34580"
"In post","2022","Department for Digital, Culture, Media and Sport","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Scotland","Outside London","25","25","39030","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","South West (England)","Outside London","15","15","45280","47070"
"In post","2022","Department for Digital, Culture, Media and Sport","Wales","Outside London","15","15","46060","47070"
"In post","2022","Department for Digital, Culture, Media and Sport","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Outside London","15","15","42040","38020"
"In post","2022","Department for Education","East Midlands (England)","Outside London","370","355","41720","37100"
"In post","2022","Department for Education","East of England","Outside London","85","80","48970","50630"
"In post","2022","Department for Education","London","London","2535","2440","50280","53420"
"In post","2022","Department for Education","North East (England)","Outside London","955","915","38420","36500"
"In post","2022","Department for Education","North West (England)","Outside London","1275","1245","40460","36500"
"In post","2022","Department for Education","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Department for Education","Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Department for Education","South East (England)","Outside London","40","40","60600","64590"
"In post","2022","Department for Education","South West (England)","Outside London","340","330","43720","40300"
"In post","2022","Department for Education","Wales","Outside London","5","5","[c]","[c]"
"In post","2022","Department for Education","West Midlands (England)","Outside London","1405","1370","40600","36780"
"In post","2022","Department for Education","Yorkshire and The Humber","Outside London","1675","1600","40800","36780"
"In post","2022","Department for Environment, Food and Rural Affairs","East Midlands (England)","Outside London","320","305","32200","29180"
"In post","2022","Department for Environment, Food and Rural Affairs","East of England","Outside London","900","855","34090","30220"
"In post","2022","Department for Environment, Food and Rural Affairs","London","London","2900","2815","44250","38750"
"In post","2022","Department for Environment, Food and Rural Affairs","North East (England)","Outside London","795","750","31230","26520"
"In post","2022","Department for Environment, Food and Rural Affairs","North West (England)","Outside London","1700","1565","29130","24920"
"In post","2022","Department for Environment, Food and Rural Affairs","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Scotland","Outside London","180","175","33380","29180"
"In post","2022","Department for Environment, Food and Rural Affairs","South East (England)","Outside London","1505","1440","35800","32560"
