"Status","Year","Profession_of_post","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","10","10","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","15","10","35860","36970"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","60","60","37220","36800"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","70","65","43590","41580"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","35","35","33060","32350"
"In post","2022","Commercial","Cheshire","Cheshire East","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Cheshire","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Warrington","Outside London","20","20","38380","37150"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Cumbria","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","West Cumbria","Outside London","15","15","40490","37400"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","10","10","47030","43480"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Nottingham","Outside London","50","45","39330","38020"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","25","25","47900","45870"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Devon","Devon CC","Outside London","205","195","43750","45150"
"In post","2022","Commercial","Devon","Plymouth","Outside London","25","25","39350","38150"
"In post","2022","Commercial","Devon","Torbay","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Dorset","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Somerset CC","Outside London","120","115","40570","40430"
"In post","2022","Commercial","East Anglia","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Cambridgeshire CC","Outside London","50","50","35220","34610"
"In post","2022","Commercial","East Anglia","North and West Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Norwich and East Norfolk","Outside London","70","70","36420","38330"
"In post","2022","Commercial","East Anglia","Peterborough","Outside London","30","30","42450","37380"
"In post","2022","Commercial","East Anglia","Suffolk CC","Outside London","25","25","42200","39430"
"In post","2022","Commercial","East Wales","Cardiff and Vale of Glamorgan","Outside London","45","40","41130","36580"
"In post","2022","Commercial","East Wales","Flintshire and Wrexham","Outside London","20","20","35080","32890"
"In post","2022","Commercial","East Wales","Monmouthshire and Newport","Outside London","100","100","36730","31470"
"In post","2022","Commercial","East Wales","Powys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","City of Edinburgh","Outside London","60","60","37430","35000"
"In post","2022","Commercial","Eastern Scotland","Clackmannanshire and Fife","Outside London","15","10","32340","28000"
"In post","2022","Commercial","Eastern Scotland","Falkirk","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Perth and Kinross, and Stirling","Outside London","10","10","26800","26900"
"In post","2022","Commercial","Eastern Scotland","West Lothian","Outside London","10","10","35850","40290"
"In post","2022","Commercial","Essex","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Essex","West Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","1195","1150","39760","37400"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Outside London","80","75","37760","36780"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Outside London","205","195","34670","34500"
"In post","2022","Commercial","Greater Manchester","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Greater Manchester South West","Outside London","85","80","40170","40520"
"In post","2022","Commercial","Greater Manchester","Manchester","Outside London","150","150","38890","36500"
"In post","2022","Commercial","Hampshire and Isle of Wight","Central Hampshire","Outside London","140","135","34780","34500"
"In post","2022","Commercial","Hampshire and Isle of Wight","Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","North Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Portsmouth","Outside London","55","55","35280","34500"
"In post","2022","Commercial","Hampshire and Isle of Wight","South Hampshire","Outside London","15","15","44440","34800"
"In post","2022","Commercial","Hampshire and Isle of Wight","Southampton","Outside London","30","25","40580","39250"
"In post","2022","Commercial","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","Outside London","5","5","[c]","[c]"
