"Status","Year","Function_of_post","Region_ITL1","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","North West (England)","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","Commercial","North West (England)","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2022","Commercial","North West (England)","Outside London","Unknown","255","250","53740","50240"
"In post","2022","Commercial","Northern Ireland","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","Heterosexual / straight","30","30","49940","43300"
"In post","2022","Commercial","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","Outside London","Heterosexual / straight","220","215","37170","34500"
"In post","2022","Commercial","Scotland","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","Scotland","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","Scotland","Outside London","Unknown","130","125","44160","38850"
"In post","2022","Commercial","South East (England)","Outside London","Heterosexual / straight","345","330","37220","34800"
"In post","2022","Commercial","South East (England)","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Commercial","South East (England)","Outside London","Undeclared","40","40","43020","42040"
"In post","2022","Commercial","South East (England)","Outside London","Unknown","120","115","53990","49700"
"In post","2022","Commercial","South West (England)","Outside London","Heterosexual / straight","1020","985","41450","39880"
"In post","2022","Commercial","South West (England)","Outside London","LGBO","35","35","36660","33480"
"In post","2022","Commercial","South West (England)","Outside London","Undeclared","145","135","41860","40000"
"In post","2022","Commercial","South West (England)","Outside London","Unknown","235","230","51300","44350"
"In post","2022","Commercial","Unknown","Unknown","Heterosexual / straight","35","35","48550","49700"
"In post","2022","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","Unknown","25","25","[c]","[c]"
"In post","2022","Commercial","Wales","Outside London","Heterosexual / straight","240","230","34790","31040"
"In post","2022","Commercial","Wales","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","Wales","Outside London","Undeclared","60","55","32580","31250"
"In post","2022","Commercial","Wales","Outside London","Unknown","45","45","42870","39220"
"In post","2022","Commercial","West Midlands (England)","Outside London","Heterosexual / straight","180","175","37050","33370"
"In post","2022","Commercial","West Midlands (England)","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Outside London","Unknown","115","110","55320","54160"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","Heterosexual / straight","285","275","40000","36500"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","LGBO","25","20","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","Undeclared","40","35","42030","36820"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","Unknown","160","160","59690","61710"
