"Status","Year","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Heterosexual / straight","90","85","38360","39100"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Cheshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Cheshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","Unknown","Heterosexual / straight","10","10","[c]","[c]"
