"Status","Year","Ethnicity","Parent_department","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","AO","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","EO","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","G7","25","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","AO","10","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","EO","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","G7","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","AO","95","85","23550","23770"
"In post","2022","Asian","Attorney General's Departments","London","EO","140","130","28350","27580"
"In post","2022","Asian","Attorney General's Departments","London","G6","85","80","67210","65650"
"In post","2022","Asian","Attorney General's Departments","London","G7","250","235","55260","53050"
"In post","2022","Asian","Attorney General's Departments","London","HEO","70","70","35500","33930"
"In post","2022","Asian","Attorney General's Departments","London","SCS level","10","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","SEO","25","25","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","AO","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","EO","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","G7","25","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","AO","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","EO","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","G7","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","HEO","[c]","[c]","[c]","[c]"
