"Status","Year","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","1070","990","43890","43390"
"In post","2022","Declared disabled","Cabinet Office","910","885","44220","38930"
"In post","2022","Declared disabled","Chancellor's other departments","30","25","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","30","25","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","50","45","55990","55480"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","1265","1205","39930","36740"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","170","165","46210","38020"
"In post","2022","Declared disabled","Department for Education","780","740","41570","37030"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","1425","1345","35080","30730"
"In post","2022","Declared disabled","Department for International Trade","240","235","46100","41760"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","430","420","41110","36340"
"In post","2022","Declared disabled","Department for Transport","1385","1220","30030","26780"
"In post","2022","Declared disabled","Department for Work and Pensions","16125","14190","27570","27570"
"In post","2022","Declared disabled","Department of Health and Social Care","600","570","41710","36820"
"In post","2022","Declared disabled","Estyn","10","10","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","110","105","37940","33400"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","785","765","44390","38860"
"In post","2022","Declared disabled","HM Land Registry","665","590","29970","27130"
"In post","2022","Declared disabled","HM Revenue and Customs","6395","5795","32990","28920"
"In post","2022","Declared disabled","HM Treasury","275","270","45760","41250"
"In post","2022","Declared disabled","Home Office","3030","2805","32180","28650"
"In post","2022","Declared disabled","Ministry of Defence","4930","4740","33710","32480"
"In post","2022","Declared disabled","Ministry of Justice","10350","9640","30270","28140"
"In post","2022","Declared disabled","National Crime Agency","250","245","38600","36740"
"In post","2022","Declared disabled","Northern Ireland Office","10","10","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","150","140","46630","46360"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","80","80","36830","32560"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","30","30","39090","38000"
"In post","2022","Declared disabled","Office of Rail and Road","30","30","49590","51310"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","5","5","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scottish Government","1980","1880","36660","34040"
"In post","2022","Declared disabled","The National Archives","40","35","29490","28040"
"In post","2022","Declared disabled","UK Export Finance","30","30","[c]","[c]"
"In post","2022","Declared disabled","UK Statistics Authority","590","525","33030","30760"
"In post","2022","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2022","Declared disabled","Welsh Government","350","330","39710","38160"
"In post","2022","Declared non-disabled","Attorney General's Departments","6985","6500","45640","48830"
"In post","2022","Declared non-disabled","Cabinet Office","5205","5085","48360","41460"
"In post","2022","Declared non-disabled","Chancellor's other departments","340","330","59730","49480"
"In post","2022","Declared non-disabled","Charity Commission","225","215","35650","29160"
"In post","2022","Declared non-disabled","Competition and Markets Authority","725","705","60380","56360"
"In post","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","9970","9560","42860","40050"
"In post","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","1560","1535","47220","51730"
"In post","2022","Declared non-disabled","Department for Education","5350","5135","45740","42750"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","9595","9135","35410","31900"
"In post","2022","Declared non-disabled","Department for International Trade","1535","1515","47150","44000"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","2925","2815","45920","42900"
"In post","2022","Declared non-disabled","Department for Transport","11275","10485","34040","27930"
"In post","2022","Declared non-disabled","Department for Work and Pensions","70360","63265","28640","27570"
"In post","2022","Declared non-disabled","Department of Health and Social Care","5155","4805","42990","37830"
"In post","2022","Declared non-disabled","Estyn","100","95","58880","75480"
"In post","2022","Declared non-disabled","Food Standards Agency","925","890","37630","32400"
