"Status","Year","Disability","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Operational Delivery","AA/AO","115","105","21600","21300"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Operational Delivery","EO","85","80","25990","25100"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Operational Delivery","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Operational Delivery","SEO/HEO","65","60","32650","30730"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Project Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Science and Engineering","AA/AO","30","30","23580","24370"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Science and Engineering","EO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Science and Engineering","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Science and Engineering","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Veterinarian","G6/G7","10","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Veterinarian","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","Communications","G6/G7","[c]","[c]","[c]","[c]"
