"Status","Year","Region_ITL2","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","Female","Unknown","60","55","27060","24800"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","Male","Heterosexual / straight","50","50","30230","27860"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Female","Heterosexual / straight","1040","945","23450","21960"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Female","LGBO","90","90","26900","28070"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Female","Undeclared","130","115","24430","22330"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Female","Unknown","260","235","24200","22510"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Male","Heterosexual / straight","1195","1180","27570","26610"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Male","LGBO","50","50","29380","27810"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Male","Undeclared","150","145","29570","28750"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Male","Unknown","345","340","27650","26750"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","Heterosexual / straight","965","885","28360","27570"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","LGBO","55","50","29170","27570"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","Undeclared","120","115","28960","28350"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","Unknown","180","165","29310","28550"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","Heterosexual / straight","730","715","30460","28670"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","LGBO","40","40","29480","29230"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","Undeclared","100","95","32120","29530"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","Unknown","140","135","30900","29290"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Female","Heterosexual / straight","255","240","61010","57930"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Female","Undeclared","35","30","60320","56490"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Female","Unknown","55","50","60630","59670"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Male","Heterosexual / straight","295","280","60280","57470"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Male","Undeclared","40","40","60580","57970"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Male","Unknown","80","75","59620","57270"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Female","Heterosexual / straight","25","25","[c]","[c]"
