"Status","Year","Age","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","East Midlands (England)","AA","Female","5","5","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","AO","Female","20","20","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","AO","Male","15","15","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","AA","Female","5","5","[c]","[c]"
"In post","2022","16-19","East of England","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","AO","Female","25","25","[c]","[c]"
"In post","2022","16-19","East of England","AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","East of England","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","AA","Female","5","5","[c]","[c]"
"In post","2022","16-19","London","AA","Male","5","0","[c]","[c]"
"In post","2022","16-19","London","AO","Female","35","35","24630","24490"
"In post","2022","16-19","London","AO","Male","20","20","[c]","[c]"
"In post","2022","16-19","London","EO","Female","35","35","26960","27380"
"In post","2022","16-19","London","EO","Male","35","35","26330","25170"
"In post","2022","16-19","London","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","AO","Female","30","30","21260","21250"
"In post","2022","16-19","North East (England)","AO","Male","30","30","[c]","[c]"
"In post","2022","16-19","North East (England)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","North East (England)","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","AO","Female","65","65","21380","21250"
"In post","2022","16-19","North West (England)","AO","Male","45","45","21320","21250"
"In post","2022","16-19","North West (England)","EO","Female","15","15","[c]","[c]"
"In post","2022","16-19","North West (England)","EO","Male","15","15","[c]","[c]"
"In post","2022","16-19","North West (England)","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","AA","Female","30","30","[c]","[c]"
"In post","2022","16-19","Scotland","AA","Male","25","20","[c]","[c]"
"In post","2022","16-19","Scotland","AO","Female","35","35","21380","21250"
"In post","2022","16-19","Scotland","AO","Male","40","35","21730","21260"
"In post","2022","16-19","Scotland","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Scotland","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","South East (England)","AA","Female","10","10","[c]","[c]"
"In post","2022","16-19","South East (England)","AA","Male","15","15","[c]","[c]"
"In post","2022","16-19","South East (England)","AO","Female","35","35","23830","21680"
"In post","2022","16-19","South East (England)","AO","Male","35","35","23780","23460"
"In post","2022","16-19","South East (England)","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","South East (England)","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","South East (England)","Unknown","Female","5","5","[c]","[c]"
"In post","2022","16-19","South East (England)","Unknown","Male","20","20","[c]","[c]"
"In post","2022","16-19","South West (England)","AA","Female","15","15","[c]","[c]"
"In post","2022","16-19","South West (England)","AA","Male","15","15","[c]","[c]"
"In post","2022","16-19","South West (England)","AO","Female","20","20","[c]","[c]"
"In post","2022","16-19","South West (England)","AO","Male","15","15","[c]","[c]"
"In post","2022","16-19","South West (England)","EO","Female","25","25","[c]","[c]"
"In post","2022","16-19","South West (England)","EO","Male","75","75","18860","18030"
"In post","2022","16-19","South West (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Unknown","Male","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Male","25","25","[c]","[c]"
"In post","2022","16-19","Wales","AA","Female","35","30","18610","18310"
"In post","2022","16-19","Wales","AA","Male","40","35","18150","18310"
"In post","2022","16-19","Wales","AO","Female","25","25","[c]","[c]"
"In post","2022","16-19","Wales","AO","Male","25","25","[c]","[c]"
"In post","2022","16-19","Wales","EO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Wales","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Wales","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","AO","Female","20","20","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","AO","Male","25","25","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","AA","Female","5","5","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","AA","Male","5","5","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","AO","Female","35","35","21700","21260"
"In post","2022","16-19","Yorkshire and The Humber","AO","Male","40","40","21220","21250"
"In post","2022","16-19","Yorkshire and The Humber","EO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","EO","Male","10","10","[c]","[c]"
"In post","2022","20-29","East Midlands (England)","AA","Female","110","105","20300","20890"
"In post","2022","20-29","East Midlands (England)","AA","Male","75","75","20210","20890"
"In post","2022","20-29","East Midlands (England)","AO","Female","735","705","22370","21260"
"In post","2022","20-29","East Midlands (England)","AO","Male","720","715","23240","22600"
"In post","2022","20-29","East Midlands (England)","EO","Female","550","540","26650","26820"
"In post","2022","20-29","East Midlands (England)","EO","Male","420","420","27030","26820"
"In post","2022","20-29","East Midlands (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","East Midlands (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","East Midlands (England)","G7","Female","25","25","[c]","[c]"
"In post","2022","20-29","East Midlands (England)","G7","Male","20","20","[c]","[c]"
"In post","2022","20-29","East Midlands (England)","HEO","Female","265","260","31810","33080"
"In post","2022","20-29","East Midlands (England)","HEO","Male","225","220","32490","33080"
"In post","2022","20-29","East Midlands (England)","SEO","Female","60","60","38370","38550"
"In post","2022","20-29","East Midlands (England)","SEO","Male","40","40","39060","40180"
"In post","2022","20-29","East Midlands (England)","Unknown","Female","220","215","25320","23170"
"In post","2022","20-29","East Midlands (England)","Unknown","Male","35","35","24640","23170"
"In post","2022","20-29","East of England","AA","Female","105","105","20930","20890"
"In post","2022","20-29","East of England","AA","Male","95","95","21010","20890"
"In post","2022","20-29","East of England","AO","Female","585","570","24150","23140"
"In post","2022","20-29","East of England","AO","Male","625","620","25870","25710"
"In post","2022","20-29","East of England","EO","Female","495","485","27330","27050"
"In post","2022","20-29","East of England","EO","Male","360","360","27390","27570"
"In post","2022","20-29","East of England","G7","Female","15","15","[c]","[c]"
"In post","2022","20-29","East of England","G7","Male","10","10","[c]","[c]"
"In post","2022","20-29","East of England","HEO","Female","185","185","32190","31660"
"In post","2022","20-29","East of England","HEO","Male","135","135","32260","32640"
"In post","2022","20-29","East of England","SEO","Female","45","45","39010","40000"
"In post","2022","20-29","East of England","SEO","Male","40","40","40010","39990"
"In post","2022","20-29","East of England","Unknown","Female","290","285","25210","24270"
"In post","2022","20-29","East of England","Unknown","Male","60","60","22690","23170"
"In post","2022","20-29","London","AA","Female","145","135","23180","22460"
"In post","2022","20-29","London","AA","Male","95","95","22690","22460"
"In post","2022","20-29","London","AO","Female","1270","1245","26280","25110"
"In post","2022","20-29","London","AO","Male","845","840","26930","25330"
"In post","2022","20-29","London","EO","Female","3315","3270","29380","28670"
"In post","2022","20-29","London","EO","Male","2185","2170","29360","28700"
"In post","2022","20-29","London","G6","Female","145","145","65670","64700"
"In post","2022","20-29","London","G6","Male","140","140","65890","65440"
"In post","2022","20-29","London","G7","Female","1880","1875","54630","53420"
"In post","2022","20-29","London","G7","Male","1640","1635","55180","54110"
"In post","2022","20-29","London","HEO","Female","4685","4665","33890","33710"
"In post","2022","20-29","London","HEO","Male","3685","3675","34160","34020"
"In post","2022","20-29","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","London","SCS level","Female","5","5","[c]","[c]"
"In post","2022","20-29","London","SCS level","Male","5","5","[c]","[c]"
"In post","2022","20-29","London","SEO","Female","1955","1945","41500","41000"
"In post","2022","20-29","London","SEO","Male","1525","1520","41570","41340"
"In post","2022","20-29","London","Unknown","Female","355","350","28870","27060"
"In post","2022","20-29","London","Unknown","Male","80","80","28140","27060"
"In post","2022","20-29","North East (England)","AA","Female","60","55","20680","20890"
"In post","2022","20-29","North East (England)","AA","Male","40","35","20340","20890"
"In post","2022","20-29","North East (England)","AO","Female","1030","980","21800","21260"
"In post","2022","20-29","North East (England)","AO","Male","920","905","22010","21260"
"In post","2022","20-29","North East (England)","EO","Female","750","735","26630","26820"
"In post","2022","20-29","North East (England)","EO","Male","585","580","26630","26820"
"In post","2022","20-29","North East (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","North East (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","North East (England)","G7","Female","40","40","51010","49860"
"In post","2022","20-29","North East (England)","G7","Male","55","55","52880","52640"
"In post","2022","20-29","North East (England)","HEO","Female","370","365","31730","32000"
"In post","2022","20-29","North East (England)","HEO","Male","320","315","32030","33080"
"In post","2022","20-29","North East (England)","SEO","Female","120","115","38160","38530"
"In post","2022","20-29","North East (England)","SEO","Male","105","105","38670","39670"
"In post","2022","20-29","North East (England)","Unknown","Female","190","190","24620","23170"
"In post","2022","20-29","North East (England)","Unknown","Male","20","20","[c]","[c]"
"In post","2022","20-29","North West (England)","AA","Female","110","105","19970","20890"
"In post","2022","20-29","North West (England)","AA","Male","90","90","19900","20890"
"In post","2022","20-29","North West (England)","AO","Female","2000","1925","21850","21260"
"In post","2022","20-29","North West (England)","AO","Male","1655","1635","22000","21260"
"In post","2022","20-29","North West (England)","EO","Female","1810","1780","26620","26590"
