"Status","Year","Disability","Ethnicity","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office (excl. agencies)","Cabinet Office","70","65","42850","40600"
"In post","2022","Declared disabled","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Competition and Markets Authority","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Crown Prosecution Service","Attorney General's Departments","70","60","40190","33900"
"In post","2022","Declared disabled","Asian","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Defence Equipment and Support","Ministry of Defence","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","65","60","45230","40050"
"In post","2022","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Education (excl. agencies)","Department for Education","40","40","36620","34810"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","45","45","38080","35890"
"In post","2022","Declared disabled","Asian","Department for International Trade","Department for International Trade","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","50","50","40650","36340"
"In post","2022","Declared disabled","Asian","Department for Transport (excl. agencies)","Department for Transport","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","1055","940","27890","27570"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Driver and Vehicle Standards Agency","Department for Transport","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Education and Skills Funding Agency","Department for Education","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","FCDO Services","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
