"Status","Year","Age","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","London","Bexley and Greenwich","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Bexley and Greenwich","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","London","Brent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Brent","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Brent","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Camden and City of London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Camden and City of London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Croydon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Croydon","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Croydon","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","London","Enfield","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Enfield","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Hackney and Newham","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","London","Hackney and Newham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Hackney and Newham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Haringey and Islington","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Haringey and Islington","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Haringey and Islington","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Hounslow and Richmond upon Thames","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Hounslow and Richmond upon Thames","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Hounslow and Richmond upon Thames","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Kensington & Chelsea and Hammersmith & Fulham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Kensington & Chelsea and Hammersmith & Fulham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Kensington & Chelsea and Hammersmith & Fulham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Lewisham and Southwark","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Lewisham and Southwark","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Lewisham and Southwark","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Redbridge and Waltham Forest","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Redbridge and Waltham Forest","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Tower Hamlets","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","London","Tower Hamlets","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Tower Hamlets","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Westminster","Heterosexual / straight","55","55","25090","25110"
"In post","2022","16-19","London","Westminster","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Westminster","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","London","Westminster","Unknown","20","20","[c]","[c]"
"In post","2022","16-19","North East (England)","Durham","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","North East (England)","Durham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Hartlepool and Stockton-on-Tees","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Hartlepool and Stockton-on-Tees","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Hartlepool and Stockton-on-Tees","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","South Teesside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","South Teesside","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Sunderland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Sunderland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Sunderland","Unknown","10","5","[c]","[c]"
"In post","2022","16-19","North East (England)","Tyneside","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","North East (England)","Tyneside","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Tyneside","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Tyneside","Unknown","25","25","[c]","[c]"
"In post","2022","16-19","North West (England)","Blackpool","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","North West (England)","Blackpool","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Cheshire East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Cheshire East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","East Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","East Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","East Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","East Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","East Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester North West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester North West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester South East","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester South East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester South West","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester South West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester South West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester South West","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","North West (England)","Lancaster and Wyre","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Lancaster and Wyre","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Lancaster and Wyre","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Liverpool","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","North West (England)","Liverpool","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Liverpool","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Liverpool","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","North West (England)","Manchester","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","North West (England)","Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Manchester","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","North West (England)","Mid Lancashire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","North West (England)","Mid Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Mid Lancashire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Mid Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Sefton","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Sefton","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Sefton","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","North West (England)","Warrington","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Warrington","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Warrington","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","West Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","West Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","West Cumbria","Unknown","[c]","[c]","[c]","[c]"
