"Status","Year","Disability","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","Heterosexual / straight","815","760","43530","40000"
"In post","2022","Declared disabled","Attorney General's Departments","LGBO","90","85","45190","50500"
"In post","2022","Declared disabled","Attorney General's Departments","Undeclared","60","55","46630","51160"
"In post","2022","Declared disabled","Attorney General's Departments","Unknown","100","90","44000","48830"
"In post","2022","Declared disabled","Cabinet Office","Heterosexual / straight","670","650","44440","38890"
"In post","2022","Declared disabled","Cabinet Office","LGBO","135","135","43680","40600"
"In post","2022","Declared disabled","Cabinet Office","Undeclared","90","85","45590","40590"
"In post","2022","Declared disabled","Cabinet Office","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Heterosexual / straight","35","35","57800","59000"
"In post","2022","Declared disabled","Competition and Markets Authority","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","930","885","40710","37420"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","LGBO","170","165","39300","37220"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Undeclared","95","95","39790","36740"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","65","60","30900","25710"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Heterosexual / straight","125","120","47920","41660"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","LGBO","30","30","42190","34360"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Heterosexual / straight","575","545","41530","37100"
"In post","2022","Declared disabled","Department for Education","LGBO","95","95","40610","36720"
"In post","2022","Declared disabled","Department for Education","Undeclared","70","70","40980","37100"
"In post","2022","Declared disabled","Department for Education","Unknown","40","35","45630","40230"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Heterosexual / straight","1025","975","35550","31640"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","LGBO","160","155","36310","32560"
