"Status","Year","Ethnicity","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","EO","15","15","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","HEO","25","25","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","AO","30","30","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","EO","30","30","27770","27960"
"In post","2022","Asian","Animal and Plant Health Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","HEO","15","15","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","SCS level","[c]","[c]","[c]","[c]"
