"Status","Year","Ethnicity","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","15","15","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","35","35","36600","34500"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","30","30","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","30","30","27770","27960"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Cabinet Office","EO","80","75","27480","27500"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","195","195","58290","56340"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","195","190","37030","35590"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
