"Status","Year","Organisation","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Unknown","Scotland","Outside London","110","100","32650","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","London","London","15","10","39790","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","London","40","40","48260","47750"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","London","London","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","London","London","15","15","39430","36350"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Midlands (England)","Outside London","100","90","28160","24410"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","East of England","Outside London","40","35","34730","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","London","95","95","40730","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","North East (England)","Outside London","130","120","29250","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","Outside London","130","120","30400","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","Outside London","85","75","30940","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","Outside London","25","25","34270","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","Outside London","45","40","33450","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","Outside London","80","75","30570","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","Outside London","70","65","31070","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","Outside London","65","60","31760","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","South East (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","West Midlands (England)","Outside London","15","15","31770","29180"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","Outside London","45","45","30090","29180"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","East of England","Outside London","120","115","29330","28480"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","London","London","95","90","33300","31690"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","North East (England)","Outside London","30","30","30500","26520"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","North West (England)","Outside London","260","245","25710","23960"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Scotland","Outside London","95","90","27440","24920"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South East (England)","Outside London","260","250","31040","28310"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South West (England)","Outside London","330","310","25910","24920"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Unknown","Unknown","20","20","25480","25130"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Wales","Outside London","270","250","26290","24920"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","Outside London","200","190","26730","24920"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","Outside London","185","180","27570","25130"
"In post","2022","Animal and Plant Health Agency","Other","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","South East (England)","Outside London","15","15","38600","38750"
"In post","2022","Animal and Plant Health Agency","Other","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","Outside London","25","25","34240","30980"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","Outside London","20","15","28790","24920"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","East of England","Outside London","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","North East (England)","Outside London","20","15","28170","25060"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","North West (England)","Outside London","20","15","27190","24920"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","South East (England)","Outside London","450","430","32700","28550"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","South West (England)","Outside London","20","20","31390","26680"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Wales","Outside London","10","10","24320","21300"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","West Midlands (England)","Outside London","10","10","30190","29180"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Yorkshire and The Humber","Outside London","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","East Midlands (England)","Outside London","15","15","45760","46140"
"In post","2022","Animal and Plant Health Agency","Veterinarian","East of England","Outside London","15","15","42340","38300"
"In post","2022","Animal and Plant Health Agency","Veterinarian","London","London","10","10","50340","54650"
"In post","2022","Animal and Plant Health Agency","Veterinarian","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","North West (England)","Outside London","25","25","44470","48740"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Scotland","Outside London","40","35","43610","37490"
"In post","2022","Animal and Plant Health Agency","Veterinarian","South East (England)","Outside London","35","30","48240","49200"
"In post","2022","Animal and Plant Health Agency","Veterinarian","South West (England)","Outside London","90","85","40190","37480"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Wales","Outside London","40","40","42590","37910"
"In post","2022","Animal and Plant Health Agency","Veterinarian","West Midlands (England)","Outside London","30","25","44390","44880"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Yorkshire and The Humber","Outside London","25","25","37210","36970"
"In post","2022","Attorney General's Office","Communications","London","London","10","10","45010","38590"
"In post","2022","Attorney General's Office","Legal","London","London","15","15","69960","65180"
"In post","2022","Attorney General's Office","Other","London","London","10","10","35120","30950"
"In post","2022","Attorney General's Office","Policy","London","London","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Finance","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","London","London","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","North West (England)","Outside London","10","10","37300","37300"
"In post","2022","Cabinet Office (excl. agencies)","Other","London","London","15","15","47280","47650"
"In post","2022","Cabinet Office (excl. agencies)","Other","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","London","London","25","25","54420","54700"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","East Midlands (England)","Outside London","35","35","52570","38870"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","East of England","Outside London","95","90","52160","50450"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","London","London","6370","6290","50110","46500"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","North East (England)","Outside London","475","450","30530","25550"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","North West (England)","Outside London","520","510","47310","41990"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Northern Ireland","Outside London","10","10","31770","32000"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Scotland","Outside London","295","290","42850","33280"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","South East (England)","Outside London","235","225","45170","34640"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","South West (England)","Outside London","240","235","54030","49700"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Unknown","Unknown","475","475","37420","32000"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Wales","Outside London","80","80","42000","37300"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","West Midlands (England)","Outside London","150","150","58600","54010"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Yorkshire and The Humber","Outside London","870","835","38490","33300"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","East of England","Outside London","15","15","42290","42410"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","East of England","Outside London","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","East of England","Outside London","55","50","31740","29990"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Economics","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","East of England","Outside London","10","10","35390","25460"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","East of England","Outside London","10","10","35570","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","East of England","Outside London","10","10","48800","47820"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","South West (England)","Outside London","10","10","35420","32580"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","East of England","Outside London","10","10","36460","32920"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","East of England","Outside London","35","35","27580","29270"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","East of England","Outside London","320","305","34670","30220"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","South West (England)","Outside London","140","135","33550","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2022","Charity Commission","Commercial","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","London","London","10","10","50820","51070"
"In post","2022","Charity Commission","Communications","North West (England)","Outside London","10","10","34560","29230"
"In post","2022","Charity Commission","Communications","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","North West (England)","Outside London","50","50","34430","29160"
"In post","2022","Charity Commission","Finance","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Charity Commission","Finance","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","North West (England)","Outside London","15","15","33420","29160"
"In post","2022","Charity Commission","Human Resources","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","London","London","15","15","53530","51160"
"In post","2022","Charity Commission","Legal","North West (England)","Outside London","10","10","51030","51070"
"In post","2022","Charity Commission","Legal","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","London","London","45","45","39820","37910"
"In post","2022","Charity Commission","Operational Delivery","North West (England)","Outside London","220","205","29360","27570"
"In post","2022","Charity Commission","Operational Delivery","South West (England)","Outside London","20","20","31560","29540"
"In post","2022","Charity Commission","Operational Delivery","Wales","Outside London","5","5","[c]","[c]"
"In post","2022","Charity Commission","Other","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","London","London","5","5","[c]","[c]"
"In post","2022","Charity Commission","Policy","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","North West (England)","Outside London","15","15","33440","33540"
"In post","2022","Charity Commission","Project Delivery","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Property","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","Wales","Outside London","5","5","[c]","[c]"
"In post","2022","Companies House","Communications","Wales","Outside London","25","25","35760","30720"
"In post","2022","Companies House","Counter Fraud","Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","Wales","Outside London","165","150","24880","22740"
"In post","2022","Companies House","Digital, Data and Technology","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data and Technology","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data and Technology","North West (England)","Outside London","[c]","[c]","[c]","[c]"
