"Status","Year","Age","Ethnicity","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","London","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Asian","London","EO","15","15","[c]","[c]"
"In post","2022","16-19","Asian","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outside London","AA/AO","55","50","21060","21250"
"In post","2022","16-19","Asian","Outside London","EO","20","20","[c]","[c]"
"In post","2022","16-19","Asian","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Mixed","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","London","AA/AO","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","London","EO","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Outside London","AA/AO","320","305","21230","21250"
"In post","2022","16-19","Unknown","Outside London","EO","80","80","21260","20900"
"In post","2022","16-19","Unknown","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","35","35","17940","16450"
"In post","2022","16-19","White","London","AA/AO","25","25","[c]","[c]"
"In post","2022","16-19","White","London","EO","30","30","[c]","[c]"
"In post","2022","16-19","White","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Outside London","AA/AO","420","405","21240","21250"
"In post","2022","16-19","White","Outside London","EO","125","125","22810","23790"
"In post","2022","16-19","White","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Outside London","Unknown","30","30","[c]","[c]"
"In post","2022","16-19","White","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","London","AA/AO","350","340","24830","24590"
"In post","2022","20-29","Asian","London","EO","1055","1040","29490","30750"
"In post","2022","20-29","Asian","London","G6/G7","280","280","55720","54270"
"In post","2022","20-29","Asian","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","London","SEO/HEO","1205","1205","36710","35700"
"In post","2022","20-29","Asian","London","Unknown","35","35","28120","27060"
"In post","2022","20-29","Asian","Outside London","AA/AO","1510","1430","21570","21250"
"In post","2022","20-29","Asian","Outside London","EO","1465","1450","26870","27570"
