"Status","Year","Parent_department","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","East Midlands (England)","Derby","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","Leicester","135","125","39460","38000"
"In post","2022","Attorney General's Departments","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","20","15","46930","55610"
"In post","2022","Attorney General's Departments","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","Nottingham","300","280","37830","30930"
"In post","2022","Attorney General's Departments","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","West Northamptonshire","15","15","43510","48080"
"In post","2022","Attorney General's Departments","East of England","Cambridgeshire CC","15","10","41010","38000"
"In post","2022","Attorney General's Departments","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Heart of Essex","200","185","42070","39880"
"In post","2022","Attorney General's Departments","East of England","Hertfordshire CC","180","160","43430","40000"
"In post","2022","Attorney General's Departments","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Norwich and East Norfolk","80","70","35210","27260"
"In post","2022","Attorney General's Departments","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Suffolk CC","35","30","40170","34480"
"In post","2022","Attorney General's Departments","East of England","Thurrock","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Bexley and Greenwich","10","10","37230","24590"
"In post","2022","Attorney General's Departments","London","Bromley","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Camden and City of London","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Croydon","60","55","36280","31180"
"In post","2022","Attorney General's Departments","London","Ealing","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Haringey and Islington","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Harrow and Hillingdon","10","10","41060","30110"
"In post","2022","Attorney General's Departments","London","Hounslow and Richmond upon Thames","10","10","31270","24590"
"In post","2022","Attorney General's Departments","London","Lewisham and Southwark","15","15","31230","24590"
"In post","2022","Attorney General's Departments","London","Merton, Kingston upon Thames and Sutton","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Redbridge and Waltham Forest","15","15","34400","24590"
"In post","2022","Attorney General's Departments","London","Westminster","4660","4385","50300","51250"
"In post","2022","Attorney General's Departments","North East (England)","Durham","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","Northumberland","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","South Teesside","90","80","38730","32370"
"In post","2022","Attorney General's Departments","North East (England)","Tyneside","255","235","39120","34480"
"In post","2022","Attorney General's Departments","North West (England)","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","East Cumbria","35","30","37920","31270"
"In post","2022","Attorney General's Departments","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Greater Manchester North West","[c]","[c]","[c]","[c]"
