"Status","Year","Age","Disability","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South West (England)","Female","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","South West (England)","Male","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
