"Status","Year","Disability","Function_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","East Anglia","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Inner London - East","75","70","44880","41750"
"In post","2022","Declared disabled","Analysis","London","Inner London - West","205","195","47320","42220"
"In post","2022","Declared disabled","Analysis","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Outer London - South","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North East (England)","Northumberland, and Tyne and Wear","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","Greater Manchester","30","30","42240","40520"
"In post","2022","Declared disabled","Analysis","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","Merseyside","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scotland","Eastern Scotland","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South East (England)","Hampshire and Isle of Wight","80","70","41120","38340"
"In post","2022","Declared disabled","Analysis","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South West (England)","Devon","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South West (England)","Dorset and Somerset","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Wales","East Wales","120","115","36180","36440"
"In post","2022","Declared disabled","Analysis","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Yorkshire and The Humber","South Yorkshire","25","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Yorkshire and The Humber","West Yorkshire","35","35","35390","31990"
